Citrus_澴_paradisi=>2022-04-05 07:33:49=>571=>为什么会有做视频嫁接这种人？
薄荷雾气_=>2022-04-05 20:52:17=>0=>来了来了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
依如既晚=>2022-04-05 20:49:41=>0=>为什么叫他五叔  为身穿迷彩服的人员 他是不是配不上那个名称啊
newsprobe=>2022-04-05 20:31:45=>0=>死亡学生家长的丧子之痛可以理解，但是还要相信事实，勿让舆论审判，代替司法审判。
赭石加群青=>2022-04-05 20:26:48=>0=>通报能否更详细、更有说服力一些。很多人提到49中事件，当地警方能否把该事件的通报做的像49中事件通报一样细致?
张守明OTC医药人=>2022-04-05 20:20:31=>0=>把视频放出来和首次尸体检查报告放出来，这么多人质疑说明什么？
做一个随性洒脱的人=>2022-04-05 20:07:00=>0=>唉<span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>
孤乃太子李承乾=>2022-04-05 20:05:24=>0=>话说，中央下去差啊，那不是很厉害
_yYcy_=>2022-04-05 19:37:59=>0=>复制。整个事件的核心，应该是关注校园暴力问题。结果可好，什么戍边十五年，什么资本的力量，什么压舆论，什么6+1=1，什么乱七八糟带节奏的牛鬼蛇神都出来了。啥都关注，就是不关注校园暴力问题，就是不关注受害者的悲惨遭遇。时代在进步，还整天阴谋论呢，一群伟光正带路党。
寇角大汗=>2022-04-05 19:13:32=>0=>拜托过一下脑子<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>谢谢，已截图。坐等后续
小A爱动漫=>2022-04-05 18:58:08=>0=><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>自从看了那个清明哭坟画风的跪地家长，我就不可能信了。。。
躺板板最快乐了=>2022-04-05 18:13:03=>0=>建议严查造谣者<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
鱼鱼与鱼鱼鱼鱼鱼=>2022-04-05 17:49:42=>0=>我想知道这是不是p的图…vb上刷来的
淡淡的风丶丶=>2022-04-05 17:42:44=>0=>我就弱弱的说一句，在座的任何一位同志！你们的朋友打架，你不上的吗？是不是？这个有些违背常理啊！还有，这种事情！小孩子的叔叔部队上的人，会有人管吗？
爱看书的坏学生=>2022-04-05 16:42:33=>0=>小心被恶势力带节奏<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
千烨2001=>2022-04-05 16:33:02=>0=>不行，这不是我们要的真相，一定有阴谋<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>（网络上的人既期待真相，又无时无刻不在质疑真相）
水清暗=>2022-04-05 16:01:51=>0=>你们高兴就好
氼乚DaL=>2022-04-05 15:07:38=>0=>就等官方消息！所以，越是这种事情就越需要有公信力的官媒给大家一个明确的说法！
当年情义=>2022-04-05 14:28:22=>0=>这个通报我还是比较认可 只是比较好奇的是另外6人真的只是单纯的观众吗
吴伟林僾笑=>2022-04-05 14:22:02=>1=>他们几个杀人犯会给那个可怜的孩子做人工呼吸？！普通男生恐怕也不会对同性人做这个吧。这是杀人犯呀，怎么让政府写成了好人好事呢！是不是还需要奖励？！
思考_下=>2022-04-05 14:12:01=>0=>焦焦学长
梧桐灯下的枫叶=>2022-04-05 13:57:03=>0=>中央出来了，我相信这就是真相，也希望后续能够妥善处理！持续关注
塞雁飞=>2022-04-05 13:49:51=>0=>关键是要严打造谣生事的人！
丶茶山的麋鹿=>2022-04-05 13:49:47=>0=>说句题外话，这么多人读书的时候没有围观过别人打架么，我初中的时候还看过班上同学与外校的约架，双方各带了人，然后石头剪刀布决定怎么打群殴还是单挑<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>最后决定1v1，所以我后来对这种事一点兴趣都没有了，觉得真的幼稚啊
娜子小姐永远顺利=>2022-04-05 13:46:36=>0=>原因啊 还是你们的人民吗
哈尔的葛葛=>2022-04-05 13:12:42=>0=>团团怎么看
阿司匹林加点醋=>2022-04-05 13:03:40=>0=>看监控视频，看尸检报告，这个没有说服力。凌晨4点多发布，编的挺头疼的吧。灵璧县不止拳打的好，作文编的也不错
你脑壳有猫病=>2022-04-05 12:50:50=>1=>如果是嫁接的 那原视频呢？  把学校的原视频放出来服众啊
你脑壳有猫病=>2022-04-05 12:49:23=>0=>六个人是观众？ 烟头烫伤怎么回事 一个十四岁的小孩一个多小时抽了一包烟？
九九归藏=>2022-04-05 12:42:06=>0=>最高检也发了，那现在是不是可以说这件事已经定性了
多喜乐四个=>2022-04-05 12:40:56=>0=>有些孩子可能因为营养不良，身体本来就脆弱，从小父母就教育我不要打架，不要打架。因为不是怕我受伤，而是怕对方孩子受伤要赔钱
想起过去的猫=>2022-04-05 12:39:42=>0=>那些说校园暴力的人，难道反杀是你们接受不了的？ 看通报我没看出来校园暴力，只看出了一群中二少年，冲动冲突。校园里的打架除了校园暴力，也有热血上头的约架的。年少的人们总是意识不到生命的脆弱，冲动却出了意外，一下子毁了两个家庭。
湛蓝蓝的海水=>2022-04-05 12:37:09=>0=>这篇通报够清楚的了。
Jackunn=>2022-04-05 12:19:33=>0=>[小白菊][小白菊][小白菊] 不忘初心砥砺前行 [小白菊][小白菊][小白菊]
勃污=>2022-04-05 12:19:05=>0=>我有一个疑问，为什么徐某叫来的人可以作为证人，这会不会有失偏颇，或者串证词的可能
为什么这么多考研重名版=>2022-04-05 12:17:25=>0=>传谣的人是要怎样<span class="url-icon"><img alt=[黑线] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heixian-1bcf71bba6.png" style="width:1em; height:1em;" /></span>一股脑跟着别人走 无语
说不出口的话别说=>2022-04-05 12:16:27=>0=>一切以官方通报为准
微醺红酒工作室=>2022-04-05 12:03:47=>0=><span class="url-icon"><img alt=[围观] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_weiguan-96e2adbbaa.png" style="width:1em; height:1em;" /></span>
恋曲1990小窝=>2022-04-05 11:55:32=>0=>不管你信不信，反正我信了
钢铁小蜗牛=>2022-04-05 11:55:09=>0=>。。。
售楼大姐Z=>2022-04-05 11:46:23=>1=>希望中央可以仔细核查渔沟中学事件！还死者家属一个真相，也还全国人民一个真相！我终生信仰党！我也真切的相信党中央可以给全国人民一个交代！不负众望！
要幸运呀哎呦呦=>2022-04-05 11:38:10=>0=>呵呵
大师是不是不是我=>2022-04-05 11:33:25=>0=>那依着通报说，没了小孩的父亲是造谣他小孩被那六个小孩围殴致死咯？网传的尸检烟头烫伤也是假的？那请尽快把发这尸检的带节奏者找出来<span class="url-icon"><img alt=[挖鼻] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_wabishi-816c4e8890.png" style="width:1em; height:1em;" /></span>
长发及腰有点点热=>2022-04-05 11:07:46=>0=>我没看太懂呢
yuzuru_十一=>2022-04-05 11:01:05=>0=>感谢国家，感谢团组织<span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span>昨天给组织发了一系列长篇大文，我本以为国家不会关注到，没想到今天就发了，真的感谢国家，跪谢<span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span>
鲁迅不会自欺欺人=>2022-04-05 10:49:37=>0=>你看我信吗？<span class="url-icon"><img alt=[舔屏] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_tian-3b1ce0a112.png" style="width:1em; height:1em;" /></span>
撒西不理哒哟=>2022-04-05 10:48:16=>0=>这么巧6+1变成6个证人？？？
秋月夜离别夕=>2022-04-05 10:47:53=>0=>警惕颜色革命！
ninglib氼=>2022-04-05 10:36:12=>0=>我发现了只要一发现这种事 带节奏的人特别多 不等通报一顿带热搜炒作<span class="url-icon"><img alt=[可爱] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png" style="width:1em; height:1em;" /></span>
要努力的楠=>2022-04-05 10:33:33=>0=>要是官方通报无误，我觉得就得判这个小杀人犯防卫过当了
西瓜子宁=>2022-04-05 10:29:40=>1=>有个小提议。 我相信政府，地方上给的回复是追究谣言就完事了，最起码来句追查视频相关情况吧。只追究与本案有关造谣生事者，明显给了敌对势力把柄呀，又要被带节奏了。 来一句凡有不公必查之，多有震慑力，地方的回复就这样了，中央能不能展现一下这个公信力度呢?
元甲不姓霍=>2022-04-05 10:26:32=>0=>我相信共青团中央，
转身等候=>2022-04-05 10:23:23=>0=>来👏 👏👏👏👏 果然人还是天真一点好
伢子幼徒=>2022-04-05 10:14:04=>0=>反正我不信
郑乃子=>2022-04-05 10:11:05=>0=>每次发生这种事件那些垃圾总会出来搅浑水，很容易被带节奏
vet-赵学长=>2022-04-05 10:10:07=>1=>所以还是一拳超人
我有你们需要的资料=>2022-04-05 10:08:42=>0=>欺负死人不能说话
阿茶茶不卖茶=>2022-04-05 10:06:15=>0=>相信共青团<span class="url-icon"><img alt=[爱你] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_aini-09d5f3f870.png" style="width:1em; height:1em;" /></span>
一念咫涯=>2022-04-05 10:06:03=>0=>网上说的21处烟头烫伤究竟有没有？ 抬上救护车说护士看到嘴上有拖鞋是真是假？ 另外六个孩子可有口供笔录具体时间与方式以及现场视频？ 受害者父亲被县公安局持枪威胁要求其发表视频让广大网友不要给予转发是真是假？确实听到视频中翻纸张的声音。
不学习给你一拳=>2022-04-05 09:57:21=>0=>支持
下课就拖堂的周老师=>2022-04-05 09:45:36=>0=>22；47分
曾经的约定11=>2022-04-05 09:45:22=>0=>六人围观参与凭什么可以成为证人？宿管哪里去了？
新风景索贝=>2022-04-05 09:40:11=>0=>我最信任团团<span class="url-icon"><img alt=[悲伤] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_beishang-c95268c034.png" style="width:1em; height:1em;" /></span>
嗱嗱_lyx=>2022-04-05 09:37:03=>0=>建议微博实名制。显示所在区域。
槲寄生枝下=>2022-04-05 09:36:41=>0=>杀人偿命
一尾流莺乀=>2022-04-05 09:35:17=>0=>微博早点实名制不好吗，一堆海外狗带节奏
我就是小饿宝宝呀=>2022-04-05 09:33:09=>1=>法不责众是错的，所有造谣传谣、拱火起哄的人全都该被处罚，哪怕这个处罚是降低该微博用户的信用等级。
ALILOVEN=>2022-04-05 09:32:29=>0=>查明白了，那些拿着谣言趁机扰乱社会秩序的二五仔可以闭嘴了<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span>
jack-best-jiang=>2022-04-05 09:31:00=>1=>49中，衡水学校，这次又多了个灵璧，都2022年了外部势力还是这个干扰视线的招数<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
YAN_yi1030=>2022-04-05 09:29:54=>0=><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%81%B5%E7%92%A7%E6%B8%94%E6%B2%9F%E4%B8%AD%E5%AD%A6%E4%BA%8B%E4%BB%B6%23&extparam=%23%E7%81%B5%E7%92%A7%E6%B8%94%E6%B2%9F%E4%B8%AD%E5%AD%A6%E4%BA%8B%E4%BB%B6%23" data-hide=""><span class="surl-text">#灵璧渔沟中学事件#</span></a>
张加帅他媳妇儿=>2022-04-05 09:29:52=>2=>人家孩子都去世了，事实是什么，也不就只有他们说了算，
Dear-暖熙=>2022-04-05 09:26:54=>0=>校园暴力不断发生，有必要深层次的去探讨，有必要的对各大中小学进行校园暴力的专题讲座并且警醒学生
依旧飞飞=>2022-04-05 09:25:47=>0=>视频为恶意嫁接，与本案无关。公安机关将依法追究造谣者责任！
明方Morning=>2022-04-05 09:24:44=>1=>这些视频嫁接的人抓不住嘛<span class="url-icon"><img alt=[失望] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-b4bf17068f.png" style="width:1em; height:1em;" /></span>？
我要起一超长超长超长的名字=>2022-04-05 09:24:30=>0=>所以根本不是什么校园暴力，还坚持校园暴力说法的我要怀疑成分了<span class="url-icon"><img alt="[开学季]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png" style="width:1em; height:1em;" /></span>
无限速=>2022-04-05 09:23:58=>0=>能不能把校园欺凌写进死刑<span class="url-icon"><img alt=[哆啦A梦害怕] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_03haipa-32e9b53caf.png" style="width:1em; height:1em;" /></span>
爱吃花椒的旺财=>2022-04-05 09:23:03=>0=>相信警方，不传谣不信谣
谁让天空湛蓝=>2022-04-05 09:21:43=>0=>认真看完通告，又被带节奏了，也怪我自己没有独立思考。这些带节奏的人还真懂怎么搞大舆论，弄乱人心，混淆是非。
竹林欲-=>2022-04-05 09:20:53=>0=>寒的是谁的心你们应该知道
箜壳子=>2022-04-05 09:20:38=>0=>我只是想知道还有没有别的证人了？
匚Lown=>2022-04-05 09:20:11=>0=>还有不少人关心的问题没有答案，等待团团的后续。
謝阿金金=>2022-04-05 09:18:56=>0=>未央傾城Timmy
sj的格子围脖=>2022-04-05 08:59:13=>0=>喊严惩凶手、校园暴力的，是不是没有认真看通报,活在被带节奏的世界里？这是一场中二少年血气上头约架,出的意外事故。被害人年轻殒命让人扼腕叹息，但嫌疑人是被动卷入争斗的，从年轻男孩子的角度来说，他拒绝约架会被其他人嘲笑；他参与约架,却失手致人意外死亡。尊重法律宣判,不要在毁了另一个孩子。
曾yaya是个怪脾气呀=>2022-04-05 08:58:33=>0=>关注
cooozc=>2022-04-05 08:55:27=>0=>互联网这些人着实有些病态 得治
cooozc=>2022-04-05 08:54:41=>0=>戾气真重，去追责啥也不懂的小屁孩
嘿向远生陈麦冬吃饱了吗=>2022-04-05 08:50:56=>0=>害，所以真的是一个同龄人打的重伤，被害人最开始还挑事，现在男生都这么好斗冲动吗<span class="url-icon"><img alt=[可爱] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_keai-9aae643ce8.png" style="width:1em; height:1em;" /></span>
在银河里漂流=>2022-04-05 08:49:06=>0=>相信调查结果
有才啊55=>2022-04-05 08:47:41=>0=>国安是不是该好好查一查，总感觉事件中充满了50万的影子
爱春久久43683=>2022-04-05 08:45:48=>0=>希望下一步警方查到视频嫁接着，太恶劣
Invincible_Yin=>2022-04-05 08:45:02=>0=>看了几天，不信谣不传谣，官方发布之前不发声。每次这种事情一出，首页里总有那么几个上窜下跳，最后被啪啪打脸
华妃娘娘万福万安=>2022-04-05 08:41:37=>0=>味太浓了，我相信警方
便一去不回fighting=>2022-04-05 08:39:40=>0=>事实没定论之前，作为官方你还是少发声。整个案件的证据全是根据现场人的口述，什么时候有视频证据再说吧
_i易=>2022-04-05 08:38:36=>0=>其他人没动手但是旁观了，等于就是活活看着被打死，所以也算帮凶吧？不然难道那几个人还拉不住一个人吗？？
月关小马快快跑=>2022-04-05 08:38:10=>0=>应该全面普及IP显示制度
白爻丶=>2022-04-05 08:36:15=>0=>校园暴力真的可怕
爱与奶秀=>2022-04-05 08:31:44=>0=>还有视频嫁接？
无骨凤爪ZC=>2022-04-05 08:31:08=>0=>反对校园暴力，严惩校园霸凌。
风雪-风烟-风雨=>2022-04-05 08:31:06=>0=>这份调查报告比较详实了，信。
洛霞与孤Wu齐飞丶=>2022-04-05 08:29:44=>1=>相信通告，相信官方
爱琴之梦=>2022-04-05 08:29:35=>0=>严惩凶手，逝者安息。
霁Yuki=>2022-04-05 08:28:31=>2=>视频嫁接又如何？最后还是死了人，别偏转话题啊😅
邓言道=>2022-04-05 08:24:02=>0=>真相大白
周末他粑粑=>2022-04-05 08:19:06=>0=>我们不想看当地政府的   我们只认军区的调查意见
不吐槽会死星近地轨道突击队天驱=>2022-04-05 08:18:35=>0=>永远____，永远_____，永远_____，反正这帮人下次还敢（另外那条通告评论区又开始一群小号说小花梅是李莹了）
國_寶_乖_乖_有_點_拽=>2022-04-05 08:17:23=>0=>相信团团！但是也要把幕后黑手揪出来，造谣生事太可恨了
易烊还就那个干洗=>2022-04-05 08:15:00=>0=>大场今天能吃到菜吗
吃西瓜的味道呀=>2022-04-05 08:13:50=>0=>恶意嫁接的人得负法律责任
怎么那么多不二啊=>2022-04-05 08:13:10=>1=>这份通报翔实，可信度很高，反观最初的警方通报如同和稀泥，很难不让人多想。希望有关部门能重视起来第一次通报的内容。
平淡如水LMF=>2022-04-05 08:11:48=>0=>相信警方🙏🙏
张狂霸刀=>2022-04-05 08:11:00=>1=>这个一面之词，我不太信。<span class="url-icon"><img alt=[偷笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[偷笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[偷笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png" style="width:1em; height:1em;" /></span>
小黄突突突111=>2022-04-05 08:09:35=>0=>最近事情好多，希望大家都好好的……
飞翔的脑洞=>2022-04-05 08:09:17=>0=>这视频技术好高
最爱湖东行不足不孤单=>2022-04-05 08:07:52=>0=>咋滴了
独饮V浊酒=>2022-04-05 08:06:22=>0=>这个真的很详细了<span class="url-icon"><img alt=[赞] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zan-44ddc70637.png" style="width:1em; height:1em;" /></span>
吖呆吖呆-=>2022-04-05 08:04:39=>1=>尸检报告和监控呢
羊尾早蟹=>2022-04-05 08:04:30=>0=>穿迷彩服的到底是不是军人 看着公告不像啊
1982陶=>2022-04-05 08:04:15=>0=>拆台CT 大家赶紧散发出去，不要给带节奏起哄的人有任何利用空间！<span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span>
饼兔TOT=>2022-06-29 12:14:56=>0=>寄！
饼兔TOT=>2022-06-01 11:57:55=>0=>一个多月了，就这，关注个🐔，所有的事件都没有后续
奥特曼69157=>2022-04-08 06:30:30=>0=>我想知道，当年被冤枉成强奸犯的大学生被立刻枪毙是为什么，借厕纸一拳打死这就是真相么？那为什么他不是强奸犯却被枪毙了
嗯强强=>2022-04-07 10:55:38=>1=>政府要考虑，为什么现在政府公信力下降了？为什么说的话，大众都质疑？为什么？<span class="url-icon"><img alt=[哈欠] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_dahaqi-b1824d3d83.png" style="width:1em; height:1em;" /></span>
鼠鼠不爱钱=>2022-04-06 00:37:14=>2=>有人4.3发出来了原因是借卫生纸引发冲突说是学校让这样说的（提早公告两天）
豪饮冰美式=>2022-04-05 22:22:50=>0=><span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
Denny·Gan=>2022-04-05 19:21:00=>0=>不造谣，不信谣，不传谣！只是今年看到了太多的谎言！上海，安徽灵璧，呵呵！
艿言艿语=>2022-04-05 17:54:03=>0=>最近的妖魔鬼怪好多啊
xinren1630=>2022-04-05 16:48:44=>0=>这事情具体如何还不好说，反正官媒上午发的情况说明下午删了变成另一份说明了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
雅馨是个妖孽她只在夜里哭=>2022-04-05 16:47:38=>0=>🙏孩子一路走好。
沉迷摸鱼的柠檬茶=>2022-04-05 16:26:04=>0=>司法:我发了通告。  网友:我不信。  司法:我又发了更详细的通告。   网友:为什么不敢发监控报告！  司法:（经过一系列的流程）好了发了。  网友:早干嘛了，司法已经没有公信力了！  司法:……    六子啊，以后你们死了，司法自动公开背调、死亡详情等相关信息供网友查阅，不然对不起你。
沉清酒=>2022-04-05 15:17:22=>1=>被当成傻子的感觉<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>撤了撤了，家长们赶紧带孩子去学拳击，不然小心被下一个拳王打死<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
鸿宾十一=>2022-04-05 15:11:23=>0=>为什么没有记者采访到家长本人呢
TwentyYing=>2022-04-05 14:42:36=>0=>·工藤阿木 艹
inai5=>2022-04-05 13:25:08=>0=>我个人觉得这个相对可信，毕竟舆论涉及到了军心和人民子弟兵军属的地步了。不可能不重视。
默默小湛=>2022-04-05 13:20:03=>0=>社会需要一些证据：请公示出警报告、尸检报告、证人、证词、证物，我只相信这些。请还事件一个真相。共青团中央
德尔芬因格=>2022-04-05 13:13:27=>0=>……
不卖原味黑袜=>2022-04-05 12:20:50=>0=>外网就很多造谣阿，服了
