非授权=>2023-07-03 15:48:52=>80=>看来这个课题到今天还没解密。
粒米都=>2023-07-03 16:42:36=>0=>功成不必在我，功成必定有我
汉湖ap章上香=>2023-07-03 16:09:42=>0=>致敬！
胖就不沉底=>2023-07-03 15:56:16=>0=><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
技术派2009=>2023-07-03 15:50:20=>0=>致敬凌院士<span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span>
月亮不爱洋芋片=>2023-07-03 15:49:02=>0=><span class="url-icon"><img alt=[微风] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_weifeng-6dce9bef03.png" style="width:1em; height:1em;" /></span>
我俗的很快乐=>2023-07-03 15:46:45=>0=>国士
大兵悍将之中华=>2023-07-13 04:19:37=>0=>沉痛悼念凌永顺院士！<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
希艺欧的贝壳r=>2023-07-08 11:27:44=>0=>致敬！
Llsaywx304=>2023-07-06 11:19:39=>0=>致敬
SS第二帝国装甲师=>2023-07-04 22:35:32=>0=>沉痛悼念凌永顺院士！
赚钱养洁仔=>2023-07-04 21:53:36=>0=>沉痛悼念凌永顺院士！
-残笺箫箫余宿墨-=>2023-07-04 14:16:51=>0=>致敬<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
吃一勺玉米粒=>2023-07-04 10:45:44=>0=>致敬
进藏狂热分子=>2023-07-04 10:10:30=>0=>紫宝宝说得更加细一些：凌永顺是我国电子对抗领域著名专家，电子干扰技术领域的开创者和奠基人，在等离子体干扰、战略弹道导弹中段隐身、战略弹道导弹再入段突防、对抗红外热成像等关键技术上取得多项开创性研究成果。沉痛悼念凌永顺院士！
盛夏救赎_=>2023-07-03 23:19:26=>0=>致敬！
小白了免=>2023-07-03 21:36:05=>0=>致敬！
散养小狼狗=>2023-07-03 21:25:19=>0=>沉痛悼念凌永顺院士！
刘风云又讲故事=>2023-07-03 21:21:33=>0=><span class="url-icon"><img alt="[老师好]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[老师好]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt="[老师好]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png" style="width:1em; height:1em;" /></span><a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%B5%B0%E5%A5%BD%23" data-hide=""><span class="surl-text">#走好#</span></a> ！
和-17钓鱼=>2023-07-03 21:20:50=>0=>致敬
柠檬曲奇有点酸zhz=>2023-07-03 20:58:57=>0=>致敬
辰乐小天使=>2023-07-03 20:53:24=>0=>致敬！一路走好
滇红兔兔=>2023-07-03 20:31:21=>0=><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[作揖] src="https://h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-519f80d31c.png" style="width:1em; height:1em;" /></span>
季仒jjjj=>2023-07-03 20:23:55=>0=>致敬
苍苍青=>2023-07-03 19:47:09=>0=>致敬
棣棣期=>2023-07-03 19:38:47=>0=>致敬
阿拉丁神灯雯=>2023-07-03 19:07:29=>0=>致敬！一路走好<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
停停的麻麻=>2023-07-03 18:37:21=>0=>致敬
哇哇燕儿=>2023-07-03 18:20:05=>0=><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
·没有想法-=>2023-07-03 18:04:37=>0=>致敬
成利财让=>2023-07-03 17:45:09=>0=>🙏🙏🙏<span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[鲜花] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png" style="width:1em; height:1em;" /></span>
西谷夕的橘子=>2023-07-03 17:41:16=>0=>致敬
枝漫春旧词_=>2023-07-03 17:34:13=>0=><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
盛典酸奶糖=>2023-07-03 17:27:23=>0=>致敬！
Beckoning笑女士=>2023-07-03 17:25:12=>0=>致敬！！！
luo_荟=>2023-07-03 17:20:38=>0=>致敬
快乐小凡_天津=>2023-07-03 17:17:26=>0=>能不能让有关部门跟微博要求一下，以后类似正能量强制挂热搜一周，微博应该传播正能量而不是天天娱乐八卦！
期待书韵的到来=>2023-07-03 17:15:40=>0=>沉痛悼念！
你有奥利酱吗=>2023-07-03 17:09:26=>0=>致敬
魔法土豆ovo_=>2023-07-03 17:07:56=>0=>致敬
原諒我不懂言語=>2023-07-03 16:48:23=>1=>[蠟燭][蠟燭][蠟燭]
南风吻过北山=>2023-07-03 16:45:44=>0=>致敬
Aaa烊烊烊烊=>2023-07-03 16:29:07=>0=>致敬
winng88=>2023-07-03 16:27:50=>0=>致敬
hoesa_reokseu=>2023-07-03 16:25:32=>0=>沉痛悼念
氼乚黒鸦=>2023-07-03 16:24:37=>0=>沉痛悼念温如也
七月如糖_=>2023-07-03 16:23:01=>0=>致敬
慕月i_=>2023-07-03 16:21:31=>0=><span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>
祎个小魏枝_疯批版=>2023-07-03 16:21:17=>0=>一路走好  致敬
办公室小杰=>2023-07-03 16:20:21=>0=>致敬<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
Di_念棣白鹤栩=>2023-07-03 16:19:39=>0=>沉痛悼念
晞饭Becky=>2023-07-03 16:17:26=>1=>沉痛悼念凌永顺院士
4uoik-丸子=>2023-07-03 16:15:54=>0=>致敬
孤独流浪在羊城=>2023-07-03 16:13:12=>0=>感激！怀念！<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
小叶又小事=>2023-07-03 16:12:50=>0=>给极高待遇，保护是最好的办法
-渝城恋爱进行曲-=>2023-07-03 16:07:57=>0=>致敬
兜藏=>2023-07-03 15:59:08=>0=>致敬!
蛋黄肉粽蘸糖吃=>2023-07-03 15:57:11=>0=>致敬！
莲莲小润=>2023-07-03 15:55:20=>0=>致敬凌院士
大草莓爱上布丁=>2023-07-03 15:54:06=>0=>致敬
多肉不是-肉多多=>2023-07-03 15:52:21=>0=><span class="url-icon"><img alt=[求饶] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a2qiurao-7ad34b9c84.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[求饶] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a2qiurao-7ad34b9c84.png" style="width:1em; height:1em;" /></span>
芝士满天星=>2023-07-03 15:51:56=>0=>致敬
糖芯芋圆粥_jo=>2023-07-03 15:50:56=>0=>致敬凌永顺院士<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
之七安=>2023-07-03 15:50:23=>0=><span class="url-icon"><img alt="[苦涩]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png" style="width:1em; height:1em;" /></span>
道口青年A=>2023-07-03 15:49:36=>0=><span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[泪] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_lei-4cdf6ee412.png" style="width:1em; height:1em;" /></span>
_孟小四_=>2023-07-03 15:49:14=>0=><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
ulmuselm=>2023-07-03 15:48:59=>0=>致敬
罗纯纯纯洁=>2023-07-03 15:48:02=>0=>默默无闻的英雄！<span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
Courteous--=>2023-07-03 15:47:59=>0=>致敬
小狐狸坠入天空=>2023-07-03 15:47:30=>0=><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[蜡烛] src="https://h5.sinaimg.cn/m/emoticon/icon/others/o_lazhu-afb8e4fbdc.png" style="width:1em; height:1em;" /></span>
Grandpa_2=>2023-07-03 15:46:52=>0=>探索外星科技？
无条件偏向小宋=>2023-07-03 15:46:34=>0=>致敬英雄
小熊是憨包=>2023-07-03 15:46:34=>0=><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>
