芝心酿酒姜撞奶=>2022-03-30 10:54:06=>450=>少催，多关心自己
深夜来根华子=>2022-03-30 10:59:54=>0=>嗯嗯嗯嗯嗯所以也别催婚催生了😅春晚小品真给我看吐了
一笑泪倾城丶CC=>2022-03-30 10:59:51=>0=>包办婚姻违法
刺客王=>2022-03-30 10:59:22=>0=>唉 真的压力好大
喜欢Cookie好久了=>2022-03-30 10:59:16=>0=>在“非完美”状态下进行长远决策的勇气
越龙翔宇=>2022-03-30 10:58:21=>0=>分配问题不解决，整这些有啥用？<span class="url-icon"><img alt=[偷笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_touxiao-0d995330b6.png" style="width:1em; height:1em;" /></span>
在图书室施展magic=>2022-03-30 10:57:40=>0=>害
CarrieOP=>2022-03-30 10:57:38=>0=>转发微博
风之语者AKANISHI=>2022-03-30 10:57:36=>0=>催婚的成年人好多自己婚姻一团稀糟，还催婚是觉得我们过得太快乐嫉妒吗<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>
芒果恶霸_official=>2022-03-30 10:57:07=>0=><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>②我国婚育政策的着力点是减负减压而非催婚催生
柔温着试也我=>2022-03-30 10:56:01=>0=>妈妈做法有点“左” 。 但是不容忽视的是现在老龄化问题和社会稳定问题。 多数适婚青年不结婚不愿结婚的根本原因还是因为结不起婚买不起房养不起娃。
闲的火锅馄饨=>2022-03-30 10:55:40=>0=>这？不理解<span class="url-icon"><img alt=[费解] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_feijie-c1df37ef03.png" style="width:1em; height:1em;" /></span>
_星空摩羯座=>2022-03-30 10:54:55=>0=>怎么回事，没讲早婚早育？
James_uzi=>2022-03-30 10:54:07=>1=>大三？这是哪里的家长<span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span>
红鲤鱼与绿鲤鱼与驴嗷=>2022-03-30 10:54:03=>0=>我妈坚定地认为，不结婚人生不完整，进而人生没意义？<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
摘束萱草花=>2022-03-30 12:28:40=>0=>活得快乐就行了
刺鸟爱吃兔煲=>2022-03-30 20:23:21=>0=>自己的人生自己作主
堙烬口淼林铃口尹简沫=>2022-03-30 13:44:17=>0=>父母自己婚姻不幸福，还过多干预子女的择偶，，，真的不想活成父母的样子，，，，
是难书啊=>2022-03-30 11:42:45=>0=>团团说的对!
尔不离吾不弃=>2022-03-30 11:10:30=>0=>减轻减负，只看到了增负！取消离婚冷静期
Grandiflorum_w=>2022-03-30 11:09:00=>0=>自己开心就好了
从小就特happy=>2022-03-30 11:01:42=>0=>不好意思跑个题，为什么央视要复播NBA? 反对央视复播NBA！
恬淡荷心=>2022-03-30 10:58:50=>0=>徐州啊?
皋陶神显灵=>2022-03-30 10:57:31=>0=>冷知识，这是隐私权<span class="url-icon"><img alt=[吃瓜] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_chigua-7a95e6efc4.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[太阳] src="https://h5.sinaimg.cn/m/emoticon/icon/others/w_taiyang-2b1d91ddac.png" style="width:1em; height:1em;" /></span>
糖葫芦不甜2017=>2022-03-30 23:20:10=>0=>也有说人////////话的时候呵
妹力冬学家=>2022-03-30 21:51:30=>0=>哎
胡喵家的小花痴=>2022-03-30 20:26:46=>0=><span class="url-icon"><img alt=[心] src="https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png" style="width:1em; height:1em;" /></span>团团最好了
奢珠珠宝=>2022-03-30 14:30:47=>0=>没有最好的选择，只有自己的选择。才20就要相亲，这是有多卷哪<span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span>
韵律=>2022-03-30 14:24:27=>0=>李淳罡 连团博都探讨这问题了...
如果深音有颜值=>2022-03-30 14:12:58=>0=>这妈的思想可能和电影《泰坦尼克号》里一个贵族妇人说的台词一样：“女孩上大学就是为了钓金龟婿”
几厌秋=>2022-03-30 13:48:09=>0=>才大三欸<span class="url-icon"><img alt=[哆啦A梦害怕] src="https://h5.sinaimg.cn/m/emoticon/icon/doraemon/dr_03haipa-32e9b53caf.png" style="width:1em; height:1em;" /></span>
双标公知粉研究中心=>2022-03-30 12:19:14=>0=>关我屁事
北海道魔法熊=>2022-03-30 12:09:03=>0=>凌源梓
好大的派头啊_=>2022-03-30 11:51:05=>1=>我朋友她妈也因为相亲说过，早知道不送你去大学了<span class="url-icon"><img alt=[晕] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yun-3ca5d0a5b7.png" style="width:1em; height:1em;" /></span>，，，我们也才21岁啊，我印象里挺好的一个阿姨
炙火山岩=>2022-03-30 11:40:47=>0=>本质还是阶级矛盾。
北星辰珠宝匠=>2022-03-30 11:15:06=>0=>真的是脑子不够，都有十几年了吧，不结婚难道是因为你没有催？
张小凡主页=>2022-03-30 11:13:54=>0=>婚姻自由
草莓姜吖=>2022-03-30 11:09:16=>0=>我连自己都快养不活了。。结婚哒咩
M_Gayon=>2022-03-30 11:07:53=>0=>结婚后的生活那么容易呢？
禁止焦虑万事胜意=>2022-03-30 11:06:47=>0=>small璐璐吖
Lifewarrior-=>2022-03-30 11:04:41=>0=>因为我没钱呀<span class="url-icon"><img alt=[哈哈] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png" style="width:1em; height:1em;" /></span>
Lifewarrior-=>2022-03-30 11:04:35=>0=>哈哈哈哈哈
Bling想暴富=>2022-03-30 11:00:18=>0=>发这干嘛，我妈又看不到<span class="url-icon"><img alt=[二哈] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_erha-139d0e07bd.png" style="width:1em; height:1em;" /></span>
形势十片大好V=>2022-03-30 11:00:17=>0=>封建残余
帆小布鞋=>2022-03-30 10:59:43=>0=>我可以因为天时地利人和哪个都不对所以还不想结婚，也可以因为我已经做好自己一个人也可以很好的这个决定而不结婚，当然也可以在遇到合适的人合适的时机时而选择结婚。一切都是个人的选择，没有必要上纲上线，更不必两个极端必须非此即彼。
·春日集亚册·=>2022-03-30 10:57:55=>0=>呃
夜起风澜=>2022-03-30 10:57:43=>0=>大三……
一天吃二顿-=>2022-03-30 10:57:31=>0=>自己开心最好
酷酷椰报哟=>2022-03-30 10:56:58=>0=>自己的事自己做主
健康顺利没有烦恼=>2022-03-30 10:55:35=>0=>请尊重个人意愿选择
小布布布布布布丶=>2022-03-30 10:53:59=>0=>对对对，别瞎操心了
取个网名吧123=>2022-03-30 10:53:47=>0=>这妈有问题<span class="url-icon"><img alt="[苦涩]" src="https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png" style="width:1em; height:1em;" /></span>
