笙箫-别闹=>2022-11-28 15:58:01=>1277=>行为反映心理。还是想死灰复燃的
白力度10点88=>2022-11-28 17:33:00=>0=>捡垃圾啊<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>鞠躬啊<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>下跪啊<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
随心淡然P=>2022-11-28 17:28:07=>0=>又能拿他们怎么样？对外无能对内强硬，耗子扛枪窝里横！
噜噜噜噜噜伊=>2022-11-28 17:22:25=>1=>据韩媒报道<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
一顿没肉饿得慌=>2022-11-28 17:16:01=>0=>立本子捡垃圾名不虚传
我流世界=>2022-11-28 17:15:16=>0=>啧
熊乐乐的夏天=>2022-11-28 17:14:28=>0=>日本初生的劣根性
草木心青龙吟=>2022-11-28 17:13:20=>0=>恶有恶报，可太快了<span class="url-icon"><img alt=[允悲] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png" style="width:1em; height:1em;" /></span>！
后现代主义吟游诗人=>2022-11-28 17:11:35=>1=>给他们安排几个“小男孩”，合适不合适？合适的不得了！<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
辽中猛男德标=>2022-11-28 17:07:12=>0=>西班牙一定要干点小日本子
飞法法带来好运=>2022-11-28 17:04:04=>0=>自己的垃圾捡回去
小程同学·=>2022-11-28 17:03:32=>0=>拉一个八路军军旗对他们冲锋！
Liyuu的轻飘飘时间=>2022-11-28 17:02:03=>0=>立本鬼子是这样的
博能在天边=>2022-11-28 17:01:35=>0=>小日本就还是那个小日本不会变的
风不来了我不等了=>2022-11-28 16:53:57=>0=>日本军国主义贼心不死
易非渊斯于湮=>2022-11-28 16:53:49=>0=>核弹:有人召唤我<span class="url-icon"><img alt=[笑cry] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
Deng-小光=>2022-11-28 16:53:37=>0=>贼心不死
Sneakyggggg=>2022-11-28 16:50:29=>0=>死灰复燃
曦二月=>2022-11-28 16:48:48=>0=>以小见大
你就是刚子=>2022-11-28 16:39:59=>0=>支持韩国人采取实际行动反击日本人<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
闲蛋egg=>2022-11-28 16:35:38=>0=>日本就欠被核武器炸
黄琬琬_=>2022-11-28 16:30:07=>1=><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
思考喵生_老药儿=>2022-11-28 16:30:06=>0=>该吹捡瓶子的那帮人出来洗了<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
davisfanghp=>2022-11-28 16:28:02=>0=>太简单了，请教一下，这旗子是不是现在日本国旗或者军旗？如果不是的话，天天烧。
折木·L=>2022-11-28 16:26:36=>0=>又开始了，每到世界级大会就开始整阴间活
葫芦嘎嘎o_O=>2022-11-28 16:26:20=>0=>本性使然！
涓捏厝内=>2022-11-28 16:23:34=>0=>小日本不装了<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
-蟬鳴的夏季我想遇見你=>2022-11-28 16:23:26=>0=>王子晨不是王子
你眼中有星辰00=>2022-11-28 16:23:26=>0=>这就是很多人支持的亚洲之光 不 它更多时候是亚洲人民的灾难
冰雾之渊=>2022-11-28 16:23:13=>0=>原来这才是捡垃圾的初衷
疯月z=>2022-11-28 16:22:59=>0=>捡垃圾是演的，这才是心里话
polluxchan=>2022-11-28 16:22:12=>0=>被德西联手做掉了吧 活该<span class="url-icon"><img alt=[笑而不语] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_heiheihei-5170f2f55c.png" style="width:1em; height:1em;" /></span>
幽落终然之瓣=>2022-11-28 16:22:12=>0=>还有脸拿出战败旗哈哈哈哈
罐装小红袍=>2022-11-28 16:18:12=>0=><span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>小日本也就只会捡垃圾了
小狐狸小眼睛=>2022-11-28 16:15:52=>0=>不捡垃圾了吗
小腻子zyxr=>2022-11-28 16:14:26=>0=>贼心永远不死
----1223=>2022-11-28 16:12:28=>0=>丢人
执喵之jio=>2022-11-28 16:10:33=>0=>若有打起来那天，先把日本灭了
秋半照桂香=>2022-11-28 16:09:57=>0=>祝小日本早日亡国<span class="url-icon"><img alt=[微笑] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-0be7e6251f.png" style="width:1em; height:1em;" /></span>
両儀式zly=>2022-11-28 16:07:19=>0=>中国：别这样，说好要中日友好呢
法克和雪特=>2022-11-28 16:06:33=>0=>核废水
LeonDZL=>2022-11-28 16:02:21=>0=>小本子
一天一根黄瓜的精彩=>2022-11-29 09:17:40=>1=>制裁他们的主队，有球迷带旭日旗的都给日本队0-3判负
反补众生=>2022-11-28 19:38:35=>0=>捡垃圾也是假的。全世界的球迷都有捡的，唯独日本看台上布满了各种摄像机花式炒作，记者比捡垃圾的还多
蛇吻竹=>2022-12-07 01:36:42=>0=>丢脸<span class="url-icon"><img alt=[汗] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_han-d8ebda66d3.png" style="width:1em; height:1em;" /></span>
勤奋老实的男人=>2022-12-01 12:33:15=>1=>有些中国人还穿着带有日本国旗的球衣。说建议不要穿这种球衣，还有人反对。岂有此理。
三分归晋五代十国=>2022-11-29 19:00:49=>0=>需要用除草净
记不得那首歌了=>2022-11-29 16:51:47=>0=>一边捡垃圾给白皮看，一边挥舞旭日旗，觉了，小日…子过得不错的日本人
发财-暴富1=>2022-11-29 11:35:33=>0=>CCTV 连观众席都不敢播？那又是在自卑什么？
MCX324=>2022-11-29 09:27:10=>0=>他们的未来就如同比赛一样，看这牛逼，其实到头来没用，玷污世界杯，玷污他们的国家
乐芝康纳=>2022-11-29 09:01:35=>1=>dsd打倒日本帝国主义
不想转瞬即逝的流星=>2022-11-28 23:35:10=>0=>热知识反对旭日旗其实是反法西斯
三山三水三人行=>2022-11-28 23:19:27=>0=>团团，我们自己的媒体在哪里？
古淮河边=>2022-11-28 21:26:35=>0=>日本这个民族，有许多坏种
蛇吻竹=>2022-11-28 20:10:27=>0=>还想着死灰复燃？
B-STAR-COOFEE=>2022-11-28 20:06:14=>0=>这是日本球迷在秀他们捡的垃圾
e121-y=>2022-11-28 18:57:03=>0=>真不自由 挂个旗还咋的！<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
一曲长歌动晚霞=>2022-11-28 18:56:11=>0=>哎呀呀，狐狸尾巴露出来了
钢砖儿=>2022-11-28 18:41:18=>0=>很好，很有精神，以后亲手送你下去见东条英机
一只学畜=>2022-11-28 18:08:07=>1=>贼心不死
drtdes=>2022-11-28 17:52:41=>0=>荣耀属于日本，<span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[打call] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png" style="width:1em; height:1em;" /></span>，死去的鬼子
祥天168=>2022-11-28 17:52:20=>0=>看这状况再来一次军国主义不是不可能
雪辉LING=>2022-11-28 16:46:50=>0=>绝了
东言-唤星者=>2022-11-28 16:45:19=>0=>本子不意外，贼心不死
梦祭-离天=>2022-11-28 16:17:01=>0=>小日子亡我之心不死
吃土的胡萝北=>2022-11-30 19:50:07=>0=>美利贱 请把你家的狗看好
奈洛丽丝=>2022-11-30 16:25:43=>0=>不但有旭日旗，还有疆D旗，所以现在干脆不给观众席了。。
日籍华人ttd=>2022-11-29 18:57:43=>0=>ゴミを拾えば旗は許される！彼らの心理です。
吃了困了睡了1983=>2022-11-29 18:06:36=>0=>只能说小鬼子是真的贼心不死啊！
小鹿斑比小童鞋=>2022-11-29 17:02:27=>0=>不论过去多少年，鬼子还是那个鬼子<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
用户大西瓜的西瓜=>2022-11-29 14:55:20=>0=>打死日本球迷~在现场的打！
一凡yfy=>2022-11-29 13:35:18=>0=>这有什么好愤怒的，现在心态都变了，巴不得他蹦跶两下，给大家看个乐呵<span class="url-icon"><img alt=[doge] src="https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png" style="width:1em; height:1em;" /></span>
有话就说_54320=>2022-11-29 10:53:08=>0=>纳粹军国主义抬头，不是好现象。
清溪可溯=>2022-11-29 08:03:40=>0=>也拟哭途穷，死灰吹不起。
7号-同学=>2022-11-29 04:12:39=>0=>是贼心不死，敢在中国这样打死他<span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
狐狸耶里=>2022-11-29 01:59:30=>0=>打一顿吧，真的，<span class="url-icon"><img alt=[裂开] src="https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png" style="width:1em; height:1em;" /></span>否则出不了气
红白满手=>2022-11-29 00:38:54=>0=>原子弹 摩多摩多
jojoyue7372=>2022-11-28 23:55:36=>0=>小八噶的狼子野心昭然若揭
红豆哥哥=>2022-11-28 23:00:53=>1=>这是再战的征兆
刘朝阳ian=>2022-11-28 22:56:21=>0=><span class="url-icon"><img alt=[怒] src="https://h5.sinaimg.cn/m/emoticon/icon/default/d_nu-0ddf642bed.png" style="width:1em; height:1em;" /></span>
出走的远方=>2022-11-28 22:42:48=>0=>怪不得到手的出线权鸡飞蛋打，自己给黑没了
洞拐洞拐_DiDi=>2022-11-28 22:23:20=>0=>丢人现眼
成利财让=>2022-11-28 21:45:51=>0=>让其疯狂，让其毁灭！
猕猴桃爱喝酸奶=>2022-11-28 21:36:43=>0=>其心当诛
随遇而安遇事不乱=>2022-11-28 20:48:32=>0=>说日本爱好和平，哈哈哈，啊呸。
华夏之外皆蛮夷=>2022-11-28 20:47:22=>0=>鬼子当灭！
股瘾患者小姨妈=>2022-11-28 20:38:27=>0=>所以被哥斯达黎加打出屎。
西南哈哈哥=>2022-11-28 20:28:21=>0=>日本鬼子贼心不死
