用户名	有用数	好评	时间	评论				
Yu_Kuri	0	5星	 2023-02-09 14:23:34	 原本断断续续看得极慢，直到上图东馆开展，赶在展览结束前先看完节目。这些典籍可能不会真的去读，通过这种形式了解典籍同样可以学到不少。。微博上看到金星吐槽乌镇戏剧节，提到唯一办的比较好的那一年是田沁鑫老师做总监的。搜了下发现这部综艺的艺术总监正是田老师，还有之前主持人大赛喜欢的主持人王嘉宁和张舒越。				
念念不忘	2	5星	 2021-03-05 19:00:48	 看完这个节目，我也会背《尚书》的《禹贡》了：“禹敷土，随山刊木，奠高山大川。”也更加理解了大禹定九州，何为九州，怎么定的九州。被西汉时伏生一家人护书感动得泪如雨下，要是我小时候能有人启蒙读这些就好了，小时候记忆好，能将经典都背下来。				
寒烟凝碧	1	5星	 2021-02-17 16:46:01	 眼睁睁地看着倪大红变成了伏生，撒贝宁还是撒贝宁。				
弯弯	0	5星	 2021-12-28 22:39:13	 沉浸式舞台和老戏骨的配合令人动容#典籍里的中国# 				
徐偶炽	0	5星	 2021-09-14 15:40:38	 王庆祥老师，我终于又见到你了				
格子	1	5星	 2021-03-07 00:57:38	 戏剧的假定性发挥到极致，有情怀的导演。				
与世界温暖相拥	0	5星	 2024-02-21 15:17:32	 第1幕尚书，就把人着实感动到了。。非常新颖的前世今生的对话式的舞台编排。非常有创意，果然是央视出品，审美高级，演员的演技爆炸炸裂。。尤其是饰演浮生的演员，演技太好了。				
JonRyann	4	5星	 2021-03-21 21:08:29	 如果说第一集有些煽情过度，倪大红的一眼千年让第一集瑕不掩瑜。。这集史记在喜欢读史的人看来真的封神了。。司马迁望向二十四史时难以控制的笑容真的是顶级演出。				
橘花	0	5星	 2022-09-29 23:52:44	 好喜欢这种文化类节目				
格瑞丝。	1	5星	 2021-09-23 21:30:43	 观赏性极强！话剧的演出方式，数字的舞台效果，镜头调度有影视感，时不时还来个反打观众镜头感间离一下你的沉浸感！				
屁桃apeach	0	5星	 2021-09-14 15:06:51	 受益匪浅				
飞向索拉里斯	0	5星	 2022-07-14 13:17:34	 被《天工开物》感动落泪，有这样的弘扬文化的节目真好！				
阿燃不要说话	2	5星	 2021-02-17 00:46:46	 啊 看了以后能让我这个九零后想去翻翻尚书。让年轻人燃起兴趣，大概是这个节目最大的目的吧。				
Pluto	0	5星	 2022-10-04 11:39:31	 看一集哭一集				
水王睡不捉.	6	5星	 2021-03-20 23:32:11	 求求以后的节目也能多给这些话剧演员上台的机会 一个眼神就能秒杀流量明星 真搞不懂那些给低分的 你们真就只喜欢那种烂大街的圈钱综艺？ 				
寒天	0	5星	 2022-09-29 20:08:38	 其实台词全写文言文慢点念我也是可以的，而且我觉得这种也可以，很有特色，不要太多煽情，有的那种文言文就念就有很丰沛的情感了，而且就算是评价性质的文言文写的好的也不会失去韵律美，就像过秦论那样的，引用一两句，也不会喧宾夺主				
盈  年	0	5星	 2021-06-06 15:11:33	 陪核桃看系列，推荐～				
彼夏凉初	0	5星	 2022-01-15 12:27:15	 好看 涨知识也感人				
L?wechen	0	5星	 2021-03-15 00:20:38	 看到就给五星没错了				
毛毛	0	5星	 2023-04-14 14:26:03	 如果能去现场看就更好了				
强行可期	0	5星	 2022-06-02 04:57:22	 今晚陪妈妈等女排的直播看到央一重播了典籍，才想起来当时只顾着感动都没来打分				
停格	0	5星	 2021-10-01 17:37:38	 沉浸式表演				
夏露	0	5星	 2023-01-20 16:50:06	 每次看都流眼泪是怎么回事				
寒冰之凌	0	5星	 2021-05-19 08:30:57	 超棒必看				
侃山说	0	5星	 2021-10-02 23:54:41	 想起当年看国家宝藏哭得稀里哗啦，然后脸上挂着泪痕上了一下午课的时候。。好的，看片段我都看哭了，标个在看，准备冲了。。看徐霞客游记哭得一塌糊涂，“丈夫当朝碧海而暮苍梧”。他人生最大的幸运就是在那样的家庭出身，有支持他梦想的母亲。。屈原这章也好哭。				
Leo孖	0	5星	 2021-10-16 23:50:31	 央视爸爸牛?				
阿杂	0	5星	 2022-02-09 12:07:19	 文化自信！民族自豪！文化传承！永不落幕！				
谁的雀斑在飞	1	5星	 2021-11-15 10:02:31	 舞台表演部分很好看，演员们的感染力都好强！节目没有过分深入讲解典籍里的内容，主要是一个敲敲门的作用吧，就鼓励大家多阅读这样子。				
墨白白白白白	0	5星	 2023-06-24 23:03:02	 这节目也太棒了吧，不愧是央视出品，每一集都好喜欢！尚书、天工开物、史记、本草纲目、论语、孙子兵法、徐霞客游记、道德家、传习录，部部经典！部部都是老祖宗传下来的文化！每一部的留存都耗费了无数人的心血和艰辛，才让我们看到今天这本书。				
里昂昂昂	1	5星	 2021-11-21 19:49:51	 荐书综艺。第一季共十二集：尚书、天工开物、史记、本草纲目、论语、孙子兵法、楚辞、徐霞客游记、道德经、周易传习录。				
?最爱AD钙奶?	0	5星	 2021-08-17 08:40:42	 yyds！				
风烟独醉	1	5星	 2021-10-19 01:01:48	 华夏文明泱泱千年，先贤们留下的典籍，是给后世子孙们极宝贵的财富，这浸染了无数智慧的典籍亦将永世流传，将华夏文化诉说给一代又一代的炎黄子孙，万世流长。——看完十一集，个人觉《徐霞客游记》为最佳，本集剧情丰富，且贾一平先生精湛的演技里有众多恰到好处的微表情，实属牛逼。				
GINO	0	5星	 2021-12-05 00:12:41	 好看！！！				
M.	1	5星	 2022-05-12 02:34:42	 强推！超级好看				
keke	1	5星	 2022-10-11 20:12:18	 全程鸡皮疙瘩，震撼！看的泪流满面				
有钱健康顺利.	1	5星	 2023-01-31 17:27:54	 知识的力量是非常强大的，它能够支撑一个人达到他想达到的目标、高度，所以我们要不断汲取知识。				
洁酱	0	5星	 2021-09-09 09:17:29	 王洛勇老师演绎得太令人动容了，作为屈乡儿女看得我潸然泪下。				
Dolphinson	0	5星	 2022-12-17 21:42:54	 典籍如灯，以人物为主线，故事讲述穿越古今精彩纷呈，感人肺腑。				
二水同学	0	5星	 2023-01-26 23:05:18	 图书馆偶遇接触	幸好没错过			
药尘	2	5星	 2021-08-25 23:42:43	 玩nm的王者，多让小学生看看这个不好吗				
susac	0	5星	 2022-05-12 16:23:11	 家国情怀				
李源	1	5星	 2021-09-20 19:07:42	 读书，就是和先贤对话。				
南唐李煜	0	5星	 2021-12-17 06:36:41	 太棒啦我的国！				
慕籍	0	5星	 2022-04-30 18:10:32	 先生，典籍每一代都在看。				
纳豆卷心菜	0	5星	 2021-03-21 21:24:25	 每个字，每个词，穿越千年连接你我，传承中华人民自己的故事，我好感动。				
我与狸奴不出门	2	5星	 2021-08-15 03:26:38	 永远为泱泱中华热泪盈眶(///▽///)				
攻围守	1	5星	 2021-10-06 21:11:19	 哪怕是为了看完这档节目后标的六本想读，也得给个满星。				
无语丧丧怂人	0	5星	 2021-09-30 08:11:09	 我天，我看孔子那集竟然看哭了......捂脸逃跑				
mindpixel	10	5星	 2021-02-13 05:20:00	 春晚上航天人介绍了航天成就，张国立介绍了流失海外的天龙山石窟佛首回归，前者向未来，后者向历史。。。这几天看《国家宝藏》介绍《颜真卿祭侄文稿》那一集，书法现代传承部分，方正字库工作人员有专业的讲解，这一部分介绍了计算机时代开启之初有场汉字危机，汉字在计算机输入上的困难导致「汉字拉丁化」的观点甚嚣尘上。研究人员的辛勤工作化解了汉字输入计算机的困难。。。听到汉字计算机输入上取得实质突破，想到许倬云接受许知远《十三邀》采访，老先生谈到抗日战争中的亲身经历声泪俱下。生死存亡，薪火相传，艰难险阻，惟精惟一。。。「惟精惟一」几个字出现在《典籍里的中国》第一集片尾，第一集讲《尚书》。向历史，向未来，读书、做事，功在当下，行远自迩。				
若曦	0	5星	 2023-03-27 12:31:07	 小撒老师还是在央视爸爸这里最帅，演员们都好厉害，真正的演员，时空穿越与古今大贤神交，内容意义也好?(?????????)?如老子所说：希望为这世间传一份遮风挡雨的智慧				
里中静流	0	5星	 2023-06-10 13:36:49	 超级超级好看，汇集了好多我喜欢的元素，现场舞台剧表演太有张力了！！撒贝宁我也好爱！！				
rabbitnini	0	5星	 2022-12-29 23:37:15	 很好看，尤其喜欢《本草纲目》和《孙子兵法》那两集。也许，是能体会到著书者的悲悯之心吧。。吴镇宇的表演很让人眼前一亮。以前看他的电影电视都是现代戏，只觉得他演啥像啥。没想到端庄肃穆的古装他也表演得很好。他问好友伍子胥，要不要和他一起归隐，好友摇头。他仰望天空，让含着的热泪不要流下来，似乎已经看到好友的结局。。“兵者，国之大事，死生之地，存亡之道，不可不察也”。战是为不战。贯穿始终。				
步宾扬	0	5星	 2023-06-19 19:54:11	 打卡/b站				
龙颢	4	5星	 2021-02-14 17:11:08	 打一星说水的那个消失的差评消失，不懂就瞎看，什么“人”，对这个综艺最大的恶意就是无脑的差评，无脑的那一星二星加起来占比高达6.9%的差评，还有评论里竟然先看到一星，什么都不懂的竟然还再这里……				
意君兮	0	5星	 2022-10-18 21:36:17	 非常好，有些历史故事通过荧幕演绎出来更震撼人心				
iris	0	5星	 2024-02-12 22:27:52	 看完了居然一直没有打分，强烈推荐！				
南枝	1	5星	 2021-02-21 14:49:09	 我的妈呀，央视教你做综艺系列！！快去读书吧！。另外，这个舞台上的随便一个群演都可以秒杀天天上热搜的某演戏节目了吧。				
懒	1	5星	 2021-02-26 18:58:03	 倪大红老师真是艺术家，老戏骨就是牛！感动！				
黑夜白眼	0	5星	 2021-09-01 17:12:01	 T。国家宝藏之器物、之典籍、之遗址、之非遗…				
你听日食乜嘢啊	0	5星	 2021-09-12 15:26:17	 第一集看完就来评价了，哭了好几次，太震撼了，太感动了，这盛世如你所愿				
白雪忱歌	2	5星	 2021-04-02 11:36:17	 央爸爸就是不让我失望！太棒了！又一个经典综艺节目！希望不要停，要把中国的经典的古典书籍都拍出来！				
阿徊	1	5星	 2021-08-10 21:38:32	 这tm才是该看的综艺				
AEIOU	0	5星	 2021-04-23 17:06:16	 能想到它的形式，但是看到当时的画面，那个大气那个郑重，还是给震撼到了。没想到一个校验完毕和入库就把我看哭了，就，挺感动? 历史、典藉从来不是冷冰冰的，都是一个个活生生的人们倾注了许多心血的。只是有时太理所当然就忘记了。被这样的综艺提醒一下，甚好。				
风云鱼	0	5星	 2021-03-21 23:57:59	 很新颖，能坚持看完。				
史妖妖	0	5星	 2024-03-10 19:17:32	 跟着儿子看的，真好看。				
流浪者	0	5星	 2021-02-12 21:32:33	 国话这半年基本失踪是在搞这个节目？第一期看得很满足～剧本不尬，撒贝宁解说和牵引到当代打破四堵墙、央视镜头和剪辑得都蛮舒服，倪大红的伏生吴樾的武王赞！爆！了！（应该标在看的，标“看过”会有更多人看到吧强烈安利）				
林奚	1	5星	 2021-07-13 18:12:46	 值得一看！倪大红老师好绝！以及鲁迅先生，yyds！梦幻联动！?				
刘小乔	0	5星	 2021-07-14 00:07:20	 我心中可以封神的宝藏综艺				
蝶	0	5星	 2023-10-13 20:11:27	 孙子兵法一段演技真是封神，最爱孙子兵法的一期。。。同样王阳明先生的传习录也是永恒的经典，“此心光明，亦复何言。 知行合一”				
嗯星ONLYONE X	0	5星	 2021-06-11 14:44:14	 第一集看得就哭得稀里哗啦了，好～				
玛嘉烈	0	5星	 2021-03-11 11:08:43	 诚意满满，现场一定非常震撼。				
陶霸天	0	5星	 2023-02-20 19:45:00	 好看好看！！！！				
橘子汽水	0	5星	 2023-07-21 17:24:44	 说是文化节目，不如说是一部部历史，《典籍里的中国》是我看一集就要废好几张纸巾的文化节目，是我截止目前看过最好看的，演员剧本都无法挑剔，背景音乐恢宏大气。				
苏幕遮	0	5星	 2022-01-18 11:36:50	 非常感动，高质量！				
我去buou	1	5星	 2021-05-02 21:26:46	 吊打各地方卫视				
橘子?	0	5星	 2021-12-30 21:09:27	 典籍。				
老人阿张	0	5星	 2021-10-29 17:56:13	 伏生呜呜呜；此书与功名进取毫不相关也；李时珍呜呜呜四十年啊呜呜呜；伍子胥呜呜呜；吾心自有光明月，千古团圆永无缺				
嘉月星宜	0	5星	 2021-09-08 08:46:50	 这样的穿越让人动容				
玻璃易碎	0	5星	 2021-08-14 00:09:08	 氛围感。				
Bblanca	1	5星	 2023-01-31 14:26:37	 读史可以明智 可以知晓太阳底下无新事 				
斑鹿?	0	5星	 2021-08-14 21:33:54	 好看				
Chris	0	5星	 2021-03-01 14:44:02	 高清历史舞台剧，好看易懂				
邱邱111	0	5星	 2023-05-20 07:24:05	 浅显易懂，最喜欢天工开物。				
落山风。	0	5星	 2023-07-03 16:45:17	 “朝闻道，夕死何矣。”				
江酱	0	5星	 2023-06-05 21:22:30	 你央妈真的还是你央妈，看的我猛掐自己…				
Cuz.	2	5星	 2021-08-16 18:51:47	 生在屈原的家乡宜昌，看完《楚辞》那期特别感动，感觉橘颂赋予了家乡的柑橘不一样的意义				
CHRONO	0	5星	 2022-04-27 23:40:16	 精品				
记宣	0	5星	 2022-08-20 09:15:11	 催泪弹				
日暮	0	5星	 2023-10-24 12:52:44	 巨好看的节目，每一期都能看的泪眼汪汪				
佳琦老公	0	5星	 2022-03-04 18:22:00	 希望以后电视多放这种弘扬民族文化的优秀节目，少放一些没有营养的烂片				
曾曾	0	5星	 2022-01-30 19:44:13	 #2022影单。2-典籍里的中国。。央视出品，必属精品。绝对值得崽儿在寒假暑假看的影视！比刷抖音玩游戏好多了！不仅了解更多知识，还能增强对国家的自信力和自豪感[强][强]				
十口青草桑	0	5星	 2021-10-18 08:05:01	 很有意义的综艺，让人更全方位的了解典籍以及典籍背后的故事，往往是那些典籍的作者更让人感动				
江东小霸王千绰	0	5星	 2023-06-05 10:53:22	 最后收官《传习录》这期，徐爱演员的轮回设定我哭死… 即使跨越时空，依然是先生讲学时最能懂先生意的学生。美中不足是《天工开物》宋应星的老年形象争议很大，官方应该能看到两方的热议 可是并没有出来给一个较有权威的说法或者使用该形象的凭据 				
Nicole	0	5星	 2021-11-05 19:24:30	 从开播开始，下饭剧便换成了《典籍里的中国》。感谢CCTV，让我感受到的何止是中华文化的魅力，还有咱们上下五千年中国文化的博大精深和我们文化的自信。演员、创意、舞美都不错，即使有小瑕疵，也是瑜不掩瑕。				
Atwood	2	5星	 2021-11-20 20:10:47	 吾心自有光明月，千古团圆永无缺。山河大地拥清辉，赏心何必中秋节。				
第三境	0	5星	 2023-05-28 19:48:32	 感动的热泪盈眶，倪大红真是神仙演员。当年小撒和章子怡在一起的时候，有人还觉得小撒高攀了，我觉得正相反				
shadow	4	5星	 2021-02-13 23:52:20	 震撼，感动，期待				
万事想来都在朕	0	5星	 2021-10-12 01:06:10	 有人说不敢深究？我就笑了，这节目不是引导对优秀传统文化感兴趣的人去深究么？不是抛砖引玉么？等着让你坐享其成？？？				
猪三思	0	5星	 2024-02-08 20:29:38	 只看了伍子胥孙武这期，真棒！不战而屈人之兵，让我想起了香港那次，特种部队穿常服上街清理路障了，哪个天才想出来的，熟读孙子兵法啊				
piyeok	4	5星	 2021-08-07 21:42:51	 《孙子兵法》这一集太牛了，吴镇宇、吴樾两位贡献了影帝级的演技				
竹本	0	5星	 2021-12-29 08:36:23	 看了第一期，真的好看，文案是真的好，年少时我总觉得自己将来能成为作家，然而现在我没有，而且我找到了原因，是我以前读书真的太少了。				
Cranberry	0	5星	 2022-09-09 14:39:02	 最好的综艺类节目。				
蕖歌	0	5星	 2023-03-18 23:00:14	 感动，演员演技杠杠的！李光洁惊艳！整个节目古今对话，表演动人，文化厚重，立意深沉。虽然信息量没有国家宝藏多，但节目效果我觉得更优，赞一个！（看了3集，一直没续，以后有机会再看吧～				
北漂老汪	0	5星	 2021-03-29 12:58:33	 牛年春节在家偶遇，一看便被画面所吸引。期待之后的续集！				
Riosleo	0	5星	 2021-12-26 22:55:53	 新颖的穿越剧形式，生动地呈现了中国几部典籍的精髓。				
西柚橙子	0	5星	 2021-03-27 02:19:38	 有这么一场古今对话，接触经典的综艺真好！舞台演员都挺好，虽然有些细节有争议，不过不影响是个好节目				
施景恩	0	5星	 2022-01-17 17:36:11	 震撼！				
Mr.Moment	0	5星	 2021-10-21 00:07:10	 制造考究，演技精湛准确，太无敌了。看的是徐霞客游记一集，精妙绝伦！丈夫当朝碧海而暮苍梧！				
郑主中Sky	0	5星	 2021-10-30 12:54:29	 这个综艺，不给五星就是对不起央妈的良苦用心了。看到现在最好的综艺，最好的！没有之一！！！				
格子之外的感性	0	5星	 2022-07-05 10:53:01	 2021.10.10看过。				
一束夏花	0	5星	 2021-02-24 21:46:06	 内容一绝，形式新颖，加上撒撒，满分。。伏生问，两千多年后的你们还读《书》吗？。惭愧惭愧。				
惰 惰°	0	5星	 2021-06-29 10:31:32	 重修本草四十载，先人的坚持跟梦想是我的泪点，最让我点赞的是节目里补足了先人的遗憾，让李时珍看到了印刷完整的本草纲目，让伏胜看到尚书的流传，让宋应星看到了天下富足，让他们看到了现在这个人人读书的时代...眼泪不值钱，可他们为了后世所流下的每一滴汗水都很珍贵				
六楼	0	5星	 2021-03-16 17:12:55	 贵五谷而贱金玉				
重庆电影迷	0	5星	 2021-08-15 13:34:26	 每集都看得我泪流满面，当代学生必看的综艺节目				
一封心	0	5星	 2021-05-15 19:35:35	 华夏——一个最悠久、最文明的故事				
庄子周	0	5星	 2022-11-25 01:14:43	 文化节目越来越多了				
舒十二	0	5星	 2023-06-18 15:15:45	 从节目开始就眼泪不断 8.7不是我心目中的分数 满分都打不住				
上紧发条的猫	0	5星	 2021-02-22 20:39:42	 2021.2.22 倪大红老师演技很好。希望多一些这样生动的节目，让大家了解中国历史				
一块俊美的酱牛肉	0	5星	 2021-02-25 21:20:02	 这才是综艺良心				
葱油饼不放糖	0	5星	 2022-05-13 22:21:18	 还是央视的节目有深度				
离离原上谱	0	5星	 2023-02-14 23:22:19	 好喜欢撒撒				
FxxkForrest	0	5星	 2022-05-27 00:09:05	 ！！！				
多吃点素	0	5星	 2021-03-23 00:00:59	 最喜欢的节目！				
关我P事	0	5星	 2022-04-21 23:07:26	 每集都好用心啊呜呜呜呜太好哭了！！				
一颗松籽	0	5星	 2021-03-09 22:38:38	 以后生小孩再让她看一遍				
难以定义的用户	0	5星	 2022-03-10 11:27:43	 无论是民贵君轻，还是君舟民水，这种爱民护民的思想古已有之。「让后世读《书》而知先贤治政之本，知朝代兴废之由，知个人修身之要。」一个以史为鉴的民族，才能时刻保持清醒，不容易被狂热的舆论、廉价的真理所煽动，从而陷入长久的动荡和迷途。中华文明就是有这样一种魅力，你越是了解，就越庆幸自己生在这片土地。。文言文即使艰涩生僻、拗口难懂，也不能成为我们放弃它的理由。毕竟，中国的文化内核就深藏在这些浩如烟海的典籍里。希望有一天，我们每个人都能畅通无阻地阅读经典。中国的文化，本该由自己人守护。				
小佩奇	0	5星	 2022-03-09 16:46:04	 和故事里的中国差不多，非常好的节目。				
桃雨	0	5星	 2022-02-13 21:11:40	 ??！				
无聊?	0	5星	 2023-09-15 08:33:18	 一个节目还把人给看哭了  太好看了 这几天恶补真的太好看了				
亂春	0	5星	 2024-03-18 00:28:10	 撒贝宁真的看得是我想笑，他实在是太搞笑了，自己演戏的时候也会忍不住笑场，含着笑的样子太可爱了。这个节目做得真好，做得特别的有意义，就是作为科普去学知识的这个点来讲，让我学到很多，并且让我非常有兴趣学。				
大王	1	5星	 2021-05-26 05:03:11	 每一集都让我泪流满面。				
涂小哈	0	5星	 2021-10-24 21:06:58	 吹爆				
宁静致远	0	5星	 2022-04-14 15:12:39	 通俗易懂老少咸宜				
明亚张芸瑞	0	5星	 2021-02-20 22:36:36	 知先贤治政之本，知朝代兴废之由。倪大红老师把伏胜演活了。				
千野良奈	4	5星	 2021-02-14 18:22:04	 好喜欢古今互动这种形式，嘉宾都好有文化呜呜呜。倪大红老师演技太可了。。希望多播几个月！				
婉刷刷	0	5星	 2023-04-01 11:16:53	 文化自信！历史自信！家国情怀！为什么我的眼里常含泪水！文化综艺天花板				
昆诺维奇	0	5星	 2022-04-06 22:47:49	 阳明先生这一期就足够打满分了				
momo	0	5星	 2023-03-07 21:58:40	 撒贝宁还是严肃的时候帅气！				
Cyrus	0	5星	 2023-05-19 21:35:52	 此心光明，亦复何言！				
奶昔拯救世界	2	5星	 2021-02-15 22:38:47	 泪崩…				
3.1415926535897	0	5星	 2021-03-11 15:27:37	 2021-3-11开始看，目前出了两集，今天看了第一集				
穿布鞋跑步	0	5星	 2021-09-12 20:47:23	 太会演了！！！				
康康婊贝	0	5星	 2021-11-25 14:56:43	 传承，真的是我们民族伟大、悠久的原因。				
2047	0	5星	 2021-08-16 12:11:13	 看一个有层次有内涵有文化的综艺节目是一种感观享受和心灵洗礼。感谢，让我对综艺节目有另一种认知。				
阿白	0	5星	 2023-06-24 20:30:41	 感人				
?	1	5星	 2023-01-10 18:26:33	 央视综艺天花板之一				
糖糖糖	0	5星	 2022-04-09 16:11:06	 了解以前的中国				
边小璟	0	5星	 2021-03-10 20:52:15	 完美，看的我热血沸腾				
春两袖	0	5星	 2021-02-17 22:34:25	 舞台、演员都好棒。				
谁是谁的谁	0	5星	 2021-02-28 11:50:38	 适合给孩子看的早教节目，也适合激励自己开卷有益，终生学习				
豆大瓣	0	5星	 2022-07-18 12:55:33	 节奏太慢，给孩子看还不错				
