品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
马自达,3 昂克赛拉 2016款 1.5 自动 舒适型,自动,|0次过户|,2016,8.9,3.55
宝马,X1(进口) 2012款 xDrive20i,自动,|0次过户|,2013,10,4.8
英菲尼迪,Q50L 2016款 2.0T 舒适版,自动,|0次过户|,2015,6.3,6.36
现代,北京ix35 2020款 2.0L 自动两驱智勇・畅享版,自动,|0次过户|,2019,4.3,6.5
大众,迈腾 2012款 改款 1.8TSI 舒适型,自动,,2011,13.6,2.98
大众,朗逸 2019款 1.5L 自动视野版 国VI,自动,|0次过户|,2020,4,5.48
路虎,发现神行 2018款 240PS SE版,自动,|0次过户|,2018,5.8,12.25
宝马,3系 2020款 320Li M运动套装,自动,|0次过户|,2020,5,16.88
长安,CS35PLUS 2018款 基本型,变速箱,|新上架||0次过户|,2018,3.5,2.65
大众,帕萨特 2016款 330TSI DSG御尊版,自动,|0次过户|,2016,7.8,6.98
大众,途观 2010款 1.8TSI 自动两驱都会版,自动,|新上架||0次过户|,2010,8.5,2.35
马自达,3(进口) 2017款 三厢版,变速箱,|新上架||0次过户|,2018,4.2,2.5
东风风光,风光580 2020款 1.5T CVT豪华型,自动,|0次过户|,2020,3.8,4.18
宝马,3系 2011款 325i 时尚型,自动,|0次过户|,2010,9.6,2.7
吉利汽车,星瑞 2021款 2.0T 豪华型,自动,|0次过户||原厂质保|,2021,3.5,6.88
长安,CS75 PLUS 2020款 2.0T 自动领航型,自动,|0次过户|,2021,1.6,6.18
奥迪,A6L 2011款 2.0 TFSI 自动舒适型,自动,|0次过户|,2012,12,4.18
别克,君越 2013款 2.4L SIDI领先舒适型,自动,|0次过户|,2013,10.3,2.98
哈弗,H6 2017款 红标 2.0T 自动两驱风尚型,自动,|0次过户|,2017,7,2.24
奥迪,A6L 2012款 TFSI 标准型,自动,,2011,12,7.18
雪佛兰,科沃兹 2019款 320 自动欣悦版,自动,|0次过户|,2019,4.2,3.3
本田,CRV 2010款 2.0L 自动两驱都市版,自动,|新上架||0次过户|,2010,8,2.96
名爵,锐腾 2016款 2.0TGI TST豪华版,自动,|0次过户|,2015,7.8,2.54
吉利汽车,博越 2022款 博越X 1.8TD DCT智联型,自动,|0次过户||原厂质保|,2022,4.5,5.58
吉利汽车,帝豪 2022款 第4代 1.5L CVT豪华型,自动,|0次过户||原厂质保|,2022,1,4.28
奥迪,A6L 2014款 TFSI 标准型,自动,|0次过户|,2014,12,9.18
奥迪,A3 2017款 Limousine 35 TFSI 时尚型,自动,|0次过户|,2018,7.5,6.78
吉利汽车,帝豪 2018款 1.5L CVT尊贵型,自动,|0次过户|,2018,4,3.88
吉利汽车,豪越 2020款 1.8TD DCT豪华型 7座,自动,|0次过户||原厂质保|,2022,1.6,9.38
斯柯达,昊锐 2012款 1.8TSI 自动优雅版,自动,,2012,8.8,2.48
丰田,RAV4荣放 2013款 特享版 2.0L 自动精英,自动,|新上架||0次过户|,2013,10.4,6.38
长安,悦翔V7 2015款 1.6L 手动乐趣型 国V,手动,|0次过户|,2015,9,1.78
吉利汽车,博瑞 2017款 2.4L 尊尚型,自动,|0次过户|,2018,6,5.38
福特,翼虎 2013款 2.0L GTDi 四驱尊贵型,自动,|0次过户|,2014,11.6,4.58
长安,CS75 2017款 尚酷版 1.5T 自动锋享型,自动,|0次过户|,2017,11,4.9
福特,福克斯 2012款 两厢 1.6L 自动风尚型,自动,|0次过户|,2014,8,3.58
雪铁龙,爱丽舍 2015款 质尚版 1.6L 手动舒适型,手动,|0次过户|,2016,8,1.98
北京汽车,绅宝D50 2016款 1.5 手动 精英版,手动,|0次过户|,2016,7,1.78
长安凯程,欧诺S 2015款 1.5L金欧诺精英型,手动,|0次过户|,2017,8,1.88
金杯,海狮 2014款 2.0L第五代动力王经典型V19,手动,|0次过户|,2016,8,1.48
起亚,K5 2016款 2.0L 自动GL,自动,|0次过户|,2018,10,4.98
五菱汽车,五菱荣光 2012款 1.2 手动 基本型,手动,|0次过户|,2014,10,0.98
标致,307 2010款 三厢 1.6L 自动舒适版,自动,|0次过户|,2011,9,1.28
长安凯程,长安睿行M80 2021款 1.6L舒适型2座单蒸空调国VI高顶对开门DAM16KR,手动,|0次过户||原厂质保|,2022,2,4.88
福田,蒙派克E 2017款 2.0L快运版标准型4Q20M,手动,|新上架||0次过户|,2018,5.8,3.28
北京,BJ40 2021款 2.0T 自动四驱环塔冠军版,自动,|0次过户||原厂质保|,2021,1,11.98
东风小康,C37 2019款 1.5L精典型II 国VI DK15,手动,|0次过户|,2019,4.6,3.18
长安凯程,金牛星 2011款 1.3L标准型,手动,|0次过户|,2014,8,0.78
长安凯程,欧诺S 2014款 1.5L精英型,手动,|新上架|,2015,8.2,1.28
广汽传祺,传祺GS5 2012款 2.0L 自动两驱精英版,自动,|0次过户|,2014,8,2.18
三菱,帕杰罗 2005款 3.8 自动 GLS,自动,|新上架||0次过户|,2006,5,7.80
吉利汽车,远景 2016款 1.5L 自动幸福版,自动,|0次过户|,2017,8,1.98
长安凯程,欧诺S 2014款 1.5L基本型,手动,|0次过户|,2015,8,1.08
长安凯程,长安星光4500 2012款 1.3L标准型4G13S1,手动,|新上架||0次过户|,2013,6,0.68
五菱汽车,五菱荣光 2016款 1.5L 手动 加长基本型,手动,|0次过户|,2018,6,2.78
雪佛兰,迈锐宝 2013款 1.6T 自动舒适版,自动,|0次过户|,2015,8,2.98
东风小康,C37 2016款 1.5L精典型II DK1506,手动,|0次过户|,2017,5.8,2.28
长安跨越,长安V3 2017款 1.2L客车DK1210,手动,|0次过户|,2019,8,1.48
别克,凯越 2015款 1.5L 自动尊享型,自动,|0次过户|,2017,6,2.48
福田,蒙派克E 2013款 商务版 2.8T 手动 柴油 长轴简配舒适型,手动,|新上架||0次过户|,2016,8.2,3.5
别克,英朗 2019款 15T 双离合进取版 国VI,自动,|0次过户|,2018,4,3.88
福特,蒙迪欧 2013款 2.0L GTDi200时尚型,自动,|0次过户|,2012,9.8,3.22
大众,迈腾 2012款 2.0TSI 尊贵型,自动,|0次过户|,2011,10.5,3.06
哈弗,M6 2017款 1.5T 自动两驱都市型,自动,|0次过户|,2016,5,2.33
奥迪,A6L 2012款 TFSI 标准型,自动,|0次过户|,2012,12,7.88
雪佛兰,科鲁兹 2010款 1.6 自动 SL天地版,自动,,2009,10.5,0.75
本田,思域 2019款 220TURBO CVT劲动版 国V,自动,|0次过户|,2018,5.9,5.88
哈弗,H6 2017款 红标 2.0T 自动两驱智尚型,自动,|0次过户|,2016,8.5,3.68
马自达,3 昂克赛拉 2016款 1.5 自动 舒适型,自动,|0次过户|,2016,8.9,3.48
本田,缤智 2017款 1.8L CVT两驱先锋型,自动,|0次过户|,2017,7.2,5.38
本田,思域 2019款 180TURBO CVT尚擎版 国V,自动,|0次过户|,2018,5.6,5.58
日产,天籁 2019款 2.0T XL 智领版,自动,|0次过户|,2019,5.8,9.38
凯迪拉克,ATSL 2017款 28T 时尚型,自动,|0次过户|,2018,7.6,7.58
日产,奇骏 2017款 2.0L CVT舒适版 2WD,自动,|0次过户|,2017,8.5,7.18
魏牌,VV7 2017款 2.0T 旗舰型,自动,|0次过户|,2016,9.5,4.55
众泰,SR9 2017款 2.0T 自动极致之路版,自动,|0次过户|,2016,7.3,2.18
本田,缤智 2017款 1.5L CVT两驱舒适型,自动,|0次过户|,2019,4,5.58
起亚,K3 2019款 1.5L CVT新锐版,自动,|0次过户|,2019,5.6,4.68
奔腾,B70 2021款 1.5T 自动乐享型,自动,|0次过户|,2020,3.4,4.1
现代,索纳塔 2013款 2.0L 自动时尚版,自动,|0次过户|,2012,10.8,1.88
长安,CS55PLUS 2020款 长安CS55 PLUS 1.5T 自动炫动型,自动,|0次过户|,2020,3,5.08
长安,UNIT 2020款 1.5T 旗舰型,自动,|0次过户|,2020,1.8,6.58
路虎,发现神行 2017款 2.0T PURE,自动,|0次过户|,2016,5,9.53
东南,DX7 2018款 Prime 1.5T 自动豪华型 国V,自动,|0次过户|,2018,5.9,2.99
奔驰,A级(进口) 2015款 A 200 时尚型,自动,|0次过户|,2014,9.5,5.38
奥迪,Q7 2011款 3.0 TFSI 进取型(200kW),自动,|0次过户|,2011,12,7.68
福特,Mustang 2015款 2.3T 基本型,自动,|0次过户|,2015,8.3,10.8
斯巴鲁,森林人 2012款 经典 2.5XS 自动豪华版,自动,|0次过户|,2011,11.5,3.2
奔驰,E级 2011款 E 200 L CGI优雅型,自动,|新上架||0次过户|,2011,7,5.15
铃木,启悦 2015款 1.6L 自动舒享型,自动,|0次过户|,2014,8.5,2.46
起亚,K5 2016款 2.0L 自动GL,自动,|0次过户|,2015,7.9,4.3
广汽传祺,传祺GS8 2021款 390T 两驱暗夜骑士版,自动,|0次过户||原厂质保|,2021,5.8,9.12
奥迪,A5 2010款 2.0TFSI Coupe,自动,,2009,10.5,4.35
广汽传祺,传祺GS4 传祺GS4 2020款 COUPE 270T 自动智联科技版,自动,|0次过户|,2020,6,5.18
现代,北京ix35 2018款 2.0L 自动两驱智勇・畅质版,自动,|0次过户|,2018,5.7,4.58
魏牌,VV6 2021款 2.0T 两驱智护+,自动,|0次过户|,2020,4.6,5.95
宝马,3系 2013款 320Li 豪华设计套装,自动,,2013,12,5.88
长安,UNIV 2023款 1.5T 运动版,自动,|准新车||0次过户||原厂质保|,2023,2,6.88
江铃,驭胜 2016款 驭胜S350 2.4T 自动两驱柴油豪华版5座,自动,|0次过户|,2016,8.7,3.88
宝马,Z4 2012款 sDrive20i领先型,自动,|0次过户|,2012,10,9.28
别克,英朗 2013款 XT 1.6L 自动舒适版,自动,|0次过户|,2013,10.8,1.8
宝沃,BX7 2018款 28T 两驱舒适型 5座 国V,自动,|0次过户|,2018,5.8,3.6
长安,CS75 PLUS 2020款 1.5T 自动精英型,自动,|0次过户|,2020,4.2,3.98
吉利汽车,帝豪GS 2019款 1.4T CVT动,自动,|新上架||0次过户|,2019,8,4.28
比亚迪,宋PLUS新能源 2021款 DMi 110KM 旗舰PLUS,自动,|0次过户|,2021,3,8.7
雷克萨斯,IS 2011款 250 运动版,自动,|0次过户|,2011,12,5.18
别克,凯越 2013款 1.5 自动 经典型,自动,,2012,9.2,1.06
奥迪,A4L 2020款 40 TFSI 豪华致雅型,自动,|0次过户|,2021,3,17.88
英菲尼迪,Q50 2014款 3.7L 舒适版,自动,|0次过户|,2014,12,8.68
雪佛兰,迈锐宝XL 2023款 1.5T 锐动版,变速箱,|准新车||新上架||0次过户||原厂质保|,2023,2,4.5
吉利汽车,博瑞 2017款 1.8T 尊贵型,自动,|0次过户|,2017,6,4.18
长安,CS35 2016款 1.6L 自动豪华型 国V,自动,|0次过户|,2017,4.9,3.68
宝马,7系 2011款 730Li典雅型,自动,|0次过户|,2011,12,8.78
宝马,X1 2020款 sDrive25Li 领先型,自动,|0次过户|,2020,3,12.98
长安,CS75 2016款 1.8T 自动时尚型 国IV,自动,|0次过户|,2015,7.7,2.6
起亚,K3 2019款 1.5L CVT智享互联版,自动,|新上架||0次过户|,2018,7.6,4.38
奥迪,Q5 2012款 2.0TFSI 进取型,自动,,2011,10,5
福特,蒙迪欧致胜 2011款 2.3L 时尚型,自动,,2010,9.8,1.26
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国VI,自动,|0次过户|,2018,5.3,5.1
大众,桑塔纳 2019款 1.5L 自动风尚版 国V,自动,|0次过户|,2019,5,3.95
大众,TROC探歌 2019款 230TSI DSG两驱进取型 国V,自动,|0次过户|,2019,4.9,6.88
本田,CRV 2012款 2.0L 四驱经典版,自动,|新上架||0次过户|,2012,8.5,4.25
丰田,威驰 2017款 1.5L CVT创行版,自动,|新上架||0次过户|,2017,5,3.55
奥迪,A6L 2016款 30 FSI 技术型,自动,|0次过户|,2017,9.4,13.68
本田,凌派 2019款 180Turbo CVT舒适版 国VI,自动,|新上架||0次过户|,2019,5.3,4.28
宝马,2系 2015款 228i xDrive,变速箱,|新上架||0次过户|,2016,5,5.8
本田,飞度 2021款 1.5L CVT潮享版,自动,|0次过户|,2020,3.3,4.88
现代,名图 2017款 1.8L 自动智能型GLS 国V,自动,|0次过户|,2017,8.5,4.98
丰田,雷凌 2018款 185T CVT尊贵版 国V,自动,|0次过户|,2019,5.1,5.18
凯迪拉克,XTS 2016款 28T 精英型,自动,|0次过户|,2016,8,6.98
本田,凌派 2019款 180Turbo CVT舒适版 国VI,自动,|0次过户|,2019,6,4.5
吉利汽车,博越 2020款 1.8TD DCT智联PRO,自动,|0次过户|,2020,4.9,5.58
丰田,汉兰达 2013款 2.7L 两驱7座紫金版,自动,|0次过户|,2013,10,5.8
观致,5 2018款 1.6T 自动领先型,自动,|0次过户|,2018,5.7,3.3
捷豹,XF 2014款 XF 2.0T 风华版,自动,|0次过户|,2014,9.8,5.68
大众,宝来 2013款 1.6L 自动时尚型,自动,|0次过户|,2012,9.3,2.28
福特,蒙迪欧 2013款 2.0L GTDi240旗舰型,自动,|0次过户|,2015,9,6.6
英菲尼迪,Q50L 2016款 2.0T 舒适版,自动,|0次过户|,2015,7.6,6.36
别克,昂科威 2017款 20T 两驱精英型,自动,|0次过户|,2017,6.6,5.68
本田,歌诗图 2012款 2.4L 尊享版,自动,|0次过户|,2012,12,3.18
大众,高尔夫 2017款 230TSI 自动舒适百辆纪念版,自动,|0次过户|,2016,8.6,5
福特,蒙迪欧 2017款 EcoBoost 180 舒适型,自动,|0次过户|,2017,5.8,4.8
雪铁龙,C5 2014款 1.6T 自动尊享型,自动,|0次过户|,2014,9.5,2.99
宝马,X1 2022款 sDrive25Li 领先型,自动,|准新车||0次过户||原厂质保|,2022,1.8,14.5
奔驰,C级 2015款 改款 C 200 L 运动型,自动,|0次过户|,2014,9,9.68
长安,逸动XT 2016款 1.6L 自动致酷型,自动,|0次过户|,2015,6.5,2.18
现代,朗动 2013款 1.6L 自动领先型,自动,,2012,9.5,2.28
长安,逸动 2016款 1.6L GDI 自动劲尚型,自动,|0次过户|,2016,7.9,2.38
日产,轩逸 2021款 经典 1.6XE CVT舒适版,自动,|0次过户|,2020,6.8,4.38
凯迪拉克,ATSL 2014款 28T 豪华型,自动,|新上架||0次过户|,2014,10,5.28
宝马,5系 2014款 525Li 豪华设计套装,自动,,2013,9.4,9.68
凯迪拉克,CT5 2021款 28T 豪华型,自动,|0次过户||原厂质保|,2021,9,12.98
丰田,卡罗拉 2018款 1.2T SCVT GL智享版,自动,|0次过户|,2018,5.3,4.68
标致,508 2011款 2.3L 自动经典版,自动,|0次过户|,2010,12.6,1.82
别克,昂科威 2016款 20T 两驱精英型,自动,|0次过户|,2015,8.5,4.58
别克,君威 2020款 552T 精英型,自动,|0次过户|,2020,5.3,7.38
本田,雅阁 2013款 2.0L SE,自动,|0次过户|,2013,11,3.38
雪铁龙,天逸 C5 AIRCROSS 2017款 350THP 豪华型,自动,|0次过户|,2017,6.9,5.58
大众,途观L 2018款 改款 330TSI 自动两驱风尚版,自动,|0次过户|,2018,8.5,8.15
本田,雅阁 2016款 2.0L 舒适版,自动,|新上架||0次过户|,2016,5.5,6.45
丰田,汉兰达 2018款 2.0T 两驱精英版 5座 国VI,自动,|0次过户|,2018,6.8,12.88
雪佛兰,迈锐宝 2018款 530T 自动风尚版,自动,|0次过户|,2017,5,5.38
别克,君威 2017款 20T 豪华型,自动,|0次过户|,2017,8.2,7.88
福特,蒙迪欧 2013款 2.0L GTDi200时尚型,自动,|0次过户|,2013,9.5,3.85
众泰,T600 2015款 2.0T DCT豪华型,自动,|0次过户|,2014,8.5,1.6
雪佛兰,探界者 2018款 RS 550T 自动四驱捍界版,自动,|0次过户|,2018,6,7.6
荣威,550 2013款 550 1.8L 自动启智版,自动,|0次过户|,2012,10.2,1
起亚,K3 2021款 1.5L CVT青春版,自动,|0次过户|,2020,4,3.43
广汽传祺,传祺GS8 2017款 320T 两驱豪华智联版（七座）,自动,|0次过户|,2017,6.5,6.38
雪佛兰,迈锐宝XL 2021款 535T 自动锐动版,自动,|0次过户||原厂质保|,2021,5,7.8
道奇,酷威 2013款 2.4L 两驱智尚版,自动,,2012,13.2,2.28
宝马,3系 2018款 320Li 时尚型,自动,|0次过户|,2018,8.1,10.49
别克,昂科威 2018款 28T 四驱精英型,自动,,2018,8.2,7.46
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,自动,|0次过户|,2018,5.6,4.89
现代,领动 2019款 1.4T 双离合炫动・旗舰型,自动,|0次过户|,2019,7,5.68
宝马,X3 2013款 xDrive35i 豪华型,自动,|0次过户|,2012,10.5,5.3
宝马,X3(进口) 2013款 xDrive28i 领先型,自动,|0次过户|,2014,9.5,9.98
名爵,MG5 2021款 180DVVT CVT青春旗舰版,变速箱,|新上架||0次过户|,2021,2,2.5
奥迪,A4L 2017款 Plus 40 TFSI 风尚型,自动,|新上架||0次过户|,2017,8.26,11.28
吉利汽车,帝豪GS 2019款 1.4T CVT雅,自动,|0次过户|,2020,5.2,5.18
MINI,2016款 1.2T ONE 先锋派,自动,|0次过户|,2015,8.5,6.28
大众,宝来 2018款 1.5L 自动时尚型,自动,|0次过户|,2018,7.5,5.68
起亚,K3 2019款 1.5L CVT智行版,自动,|0次过户|,2019,3.6,4.58
长安,CS75 PLUS 2021款 1.5T 自动精英型,自动,|0次过户|,2020,4.3,5.88
宝马,5系 2006款 523i 豪华型,自动,,2006,12.8,1.88
雪佛兰,迈锐宝 2014款 1.6T 自动豪华版,自动,,2013,11.3,2.58
英菲尼迪,Q50L 2016款 2.0T 舒适版,自动,|0次过户|,2016,9.2,6.88
凯迪拉克,XTS 2014款 28T 舒适型,自动,|0次过户|,2014,10,5.38
奥迪,Q5 2011款 2.0TFSI 进取型,自动,|0次过户|,2011,10,4.88
现代,悦动 2011款 1.6L 自动舒适型,自动,|0次过户|,2012,10,1.5
宝马,4系 2016款 420i 敞篷设计套装型,自动,|0次过户|,2016,9.6,14.68
魏牌,VV5 2017款 2.0T 旗舰型,自动,|新上架||0次过户|,2017,6.8,4.26
沃尔沃,S60 2022款 B4 智远豪华版,自动,||检测报告||有VIN码||原厂质保|,2021,6.70,16.98
大众,途观L 2021款 330TSI 自动两驱RLine旗舰版,自动,||检测报告||有VIN码|,2021,3.21,16.88
宝马,3系GT 2017款 320i 时尚型,自动,||检测报告||有VIN码|,2017,7.87,15.8
理想汽车,理想ONE 2020款 增程6座版,自动,|检测报告||有VIN码|,2020,3.47,19.38
红旗,HS7 2022款 2.0T DCT两驱智联旗享版 七座,自动,||检测报告||有VIN码||准新车||原厂质保|,2023,0.90,19.58
宝马,3系 2020款 325i M运动曜夜套装,自动,||检测报告||有VIN码|,2020,4.70,22.8
宝马,5系(进口) 2018款 530i M运动套装,自动,||检测报告||有VIN码|,2018,12.61,23.98
奔驰,GLC 2017款 GLC 200 4MATIC,自动,||检测报告||有VIN码|,2016,8.22,18.8
大众,迈腾 2020款 330TSI DSG 领先型,自动,||检测报告||有VIN码|,2020,6.65,14.8
本田,凌派 2019款 180Turbo CVT舒适版 国V,自动,||检测报告||有VIN码|,2019,4.59,5.98
大众,桑塔纳 2021款 1.5L 手动风尚版,手动,||检测报告||有VIN码|,2021,3.78,4.98
比亚迪,e2 2020款 升级版 高续航版 尊贵型,自动,||检测报告||有VIN码||0次过户||原厂质保|,2021,5.01,6.58
奔驰,CLA 2017款 CLA 200 动感型,自动,||检测报告||有VIN码|,2016,10.10,10.98
大众,迈腾 2018款 330TSI DSG 领先型,自动,||检测报告||有VIN码|,2018,11.60,11.68
奔驰,C级 2015款 C 180 L 运动型,自动,||检测报告||有VIN码||新上架|,2015,8.68,13.88
Jeep,大切诺基(进口) 2017款 3.0L 舒享导航版,自动,||检测报告||有VIN码|,2020,12.60,18.2
宝马,X5(进口) 2015款 xDrive35i美规,自动,||检测报告||有VIN码||0次过户|,2019,14,34.8
标致,5008 2017款 350THP 7座精英版,自动,||检测报告||有VIN码|,2018,9.39,9.08
标致,5008 2017款 350THP 7座精英版,自动,||检测报告||有VIN码|,2018,9.39,9.08
宝马,iX3 2022款 创领型,自动,||检测报告||有VIN码||准新车||原厂质保|,2022,3.21,21.5
宝马,iX3 2022款 创领型,自动,||检测报告||有VIN码||准新车||原厂质保|,2022,3.21,21.5
福特,锐际 2020款 EcoBoost 245 两驱耀享款,自动,||检测报告||有VIN码||原厂质保|,2021,3.33,10.8
福特,锐际 2020款 EcoBoost 245 两驱耀享款,自动,||检测报告||有VIN码||原厂质保|,2021,3.33,10.8
大众,途观L 2018款 330TSI 自动两驱豪华版,自动,||检测报告||有VIN码|,2018,4.93,12.5
大众,途观L 2018款 330TSI 自动两驱豪华版,自动,||检测报告||有VIN码|,2018,4.93,12.5
大众,迈腾 2018款 330TSI DSG 领先型,自动,||检测报告||有VIN码|,2018,8.34,11.39
奥迪,Q7 2018款 40 TFSI 舒适型,自动,||检测报告||有VIN码||0次过户|,2018,14,27.8
特斯拉,Model 3 2021款 标准续航后驱升级版,自动,||检测报告||有VIN码||原厂质保|,2021,6.56,15.8
特斯拉,Model 3 2021款 标准续航后驱升级版,自动,||检测报告||有VIN码||原厂质保|,2021,6.56,15.8
大众,途观L 2021款 380TSI 自动四驱RLine越享版7座,自动,||检测报告||有VIN码|,2002,6.68,16.5
大众,途观L 2021款 380TSI 自动四驱RLine越享版7座,自动,||检测报告||有VIN码|,2002,6.68,16.5
别克,GL8 2014款 2.4L 经典版,自动,||检测报告||有VIN码|,2017,12.9,6.68
长安,CS35PLUS 2019款 1.6L 自动畅联版,自动,|有VIN码||0次过户|,2019,1.6,5.58
长安,悦翔V3 悦翔V3 2012款 1.3L 手动舒适型 国V,手动,|有VIN码|,2015,9.5,0.98
宝骏,560 2016款 1.8L 手动精英型,手动,|有VIN码||0次过户|,2017,9.5,2.88
日产,天籁 2016款 2.0L XE时尚版,自动,|有VIN码||0次过户|,2017,8.2,4.99
别克,英朗 2019款 18T 自动互联精英型 国V,自动,|有VIN码||0次过户|,2020,6.6,4.99
吉利汽车,帝豪 2017款 三厢百款 1.5L CVT向上版,自动,|有VIN码||0次过户|,2017,5.5,3.1
别克,君威 2015款 1.6T 领先技术型,自动,|有VIN码||0次过户|,2017,11,5.15
斯柯达,昕动 2016款 改款 1.6L 自动创行版,自动,|有VIN码||0次过户|,2016,5.6,4.78
福特,蒙迪欧 2013款 1.5L GTDi180时尚型,自动,|有VIN码||0次过户|,2016,6,6.28
金杯,海狮 2013款 2.0 手动 舒适型V19,手动,|有VIN码|,2014,11,1.5
标致,308 2013款 1.6L 自动优尚型,自动,|有VIN码||新上架|,2013,12.5,1.98
现代,悦动 2011款 1.6L 自动豪华型,自动,|有VIN码|,2011,11,1.88
奥迪,Q3 2017款 35 TFSI 风尚型,自动,|有VIN码||0次过户|,2018,8,11.78
奔驰,GLA 2016款 GLA 200 时尚型,自动,|有VIN码|,2016,9.2,9.38
Jeep,自由光(进口) 2014款 2.4L 都市版,自动,|有VIN码||0次过户|,2015,9.2,4.68
福特,蒙迪欧致胜 2011款 240GTDi 至尊型,自动,|有VIN码||0次过户|,2012,13,2.98
福特,福克斯 2009款 两厢 1.8L 自动时尚型,自动,|有VIN码|,2009,12,1.3
Jeep,自由光 2016款 2.0L 优越版,自动,|有VIN码||0次过户|,2017,8.5,6.48
吉利汽车,吉利GX7 吉利GX7 2014款 2.0L 手动尊贵型 国V,手动,|有VIN码||0次过户|,2014,8.8,1.35
东风风行,景逸X5 2013款 1.6L 手动尊享型 国IV,手动,|有VIN码|,2014,11,1.18
哈弗,H6 2018款 红标 运动版 1.5T 手动两驱精英型,手动,|有VIN码||0次过户|,2017,11.5,3.48
起亚,智跑 2016款 2.0L 自动两驱版GL,自动,|有VIN码||0次过户|,2017,6,5.99
东风风神,L60 2015款 1.8L 自动新享型,自动,|有VIN码||0次过户|,2018,7,1.98
大众,辉腾 2012款 3.0L 行政型,自动,|有VIN码||0次过户|,2013,19,12.8
奥迪,Q7 2016款 45 TFSI S Line运动型,自动,|有VIN码||0次过户|,2016,15,24.8
三菱,劲炫ASX 2013款 2.0L CVT两驱精英版,自动,|有VIN码||0次过户|,2015,8.59,4.68
奥迪,Q7 2021款 55 TFSI quattro S line运动型,自动,|有VIN码||准新车||0次过户||原厂质保|,2023,2.57,58.8
奥迪,A4L 2018款 30周年年型 40 TFSI 进取型,自动,|有VIN码||0次过户|,2018,6,15.8
保时捷,Panamera 2014款 Panamera 3.0T,自动,|有VIN码||0次过户|,2014,14,32.8
路虎,揽胜 2016款 3.0 TDV6 美规,自动,|有VIN码||0次过户|,2016,14,35.8
奔驰,GLE AMG 2017款 AMG GLE 43 4MATIC,自动,|有VIN码||0次过户|,2018,14,37.8
宝马,7系 2019款 740Li 领先型 豪华套装,自动,|有VIN码||0次过户|,2020,11,51.8
奔驰,威霆 2020款 2.0T 商务版 7座,自动,|有VIN码||0次过户||原厂质保|,2021,5,28.8
保时捷,Panamera 2010款 Panamera 3.6L,自动,|有VIN码||0次过户|,2012,15,21.8
奔驰,M级 2014款 ML 400 4MATIC豪华型,自动,|有VIN码||0次过户|,2014,11,19.8
宝马,X6 2015款 xDrive35i 领先型,自动,|有VIN码||0次过户|,2016,15,27.8
奥迪,A4L 2012款 2.0 TFSI 自动舒适型,自动,|有VIN码||0次过户|,2012,14,4.8
金杯,海狮 2015款 实用型,手动,|有VIN码|,2016,8,1.68
福特,翼虎 2017款 EcoBoost 180 两驱精翼型,自动,|有VIN码||0次过户|,2017,6.8,4.6
五菱汽车,五菱宏光 2013款 1.5L 豪华型,手动,|有VIN码|,2014,15,1.38
奔驰,A级 2020款 改款 A 200 L 运动轿车动感型,自动,|有VIN码||0次过户|,2020,3.6,10.68
福田,风景G7 2016款 2.0L商旅版短轴高顶4Q20M,手动,|有VIN码||0次过户|,2016,12,2.68
大众,途观 2015款 1.8TSI 自动两驱豪华型,自动,|有VIN码||0次过户|,2015,9,5.48
宝马,X3 2013款 改款 xDrive28i 豪华型,自动,|有VIN码||0次过户|,2013,11,5.08
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国VI,自动,|有VIN码||0次过户|,2018,7,6.5
长安凯程,长安之星9 2015款 1.5L 基本型4G15S,手动,|有VIN码||0次过户|,2018,7.8,1.98
铃木,启悦 2015款 1.6L 自动乐享型,自动,|有VIN码||0次过户|,2016,10,3.28
长安凯程,欧诺S 2014款 1.5L基本型,手动,|有VIN码||新上架||0次过户|,2016,7,1.48
吉利汽车,吉利EC8 2013款 2.0L 自动精英型,自动,|有VIN码||0次过户|,2013,10,1.98
长安凯程,欧诺S 2019款 欧诺S 1.5L欧诺S标准型国VI JL473QG,手动,|有VIN码||0次过户|,2020,4.6,2.88
沃尔沃,S60(进口) 2013款 T5 舒适版,自动,|有VIN码|,2013,14,4.3
陕汽通家,福家 2014款 1.3L6400A豪华型,手动,|有VIN码|,2017,3,1.58
福特,福克斯 2015款 两厢 EcoBoost 180 自动精英型,自动,|有VIN码||0次过户|,2016,7.7,4.98
长安凯程,长安星光4500 2012款 1.3L标准型4G13S1,手动,|有VIN码|,2013,9.1,0.98
长安凯程,长安睿行S50 2018款 S50V 1.5L 物流版7座 国VI,手动,|有VIN码||0次过户|,2020,5,2.88
江淮,瑞风S3 2014款 1.5L CVT豪华智能型,自动,|有VIN码|,2015,7,1.98
长安,CS75 长安CS75 2016款 2.0L 手动超值型 国V,手动,|有VIN码||0次过户|,2015,8,2.9
长安,CS75 2016款 1.8T 自动精英型 国IV,自动,|有VIN码||0次过户|,2017,7,4.58
英菲尼迪,QX50(进口) 2013款 2.5L 两驱优雅版,自动,|有VIN码||0次过户|,2014,15.5,7.88
吉利汽车,吉利GX7 吉利GX7 2014款 2.0L 手动尊贵型 国V,手动,|有VIN码|,2014,9.9,1.18
